STATE,STEXVG,STGD,STFP,STTOT
Alabama,73,20.5,6.5,100
Alaska,69,23.5,7.4,100
Arizona,69.8,23.6,6.6,100
Arkansas,67.7,24.6,7.7,100
California,71.9,20.9,7.2,100
Colorado,69.3,24.8,5.9,100
Connecticut,72.9,21.3,5.8,100
Delaware,70,23.3,6.6,100
District of Columbia,69.8,26.7,3.6,100
Florida,73.4,19,7.5,100
Georgia,74.8,17.9,7.2,100
Hawaii,74.9,19.5,5.6,100
Idaho,70.7,21.8,7.5,100
Illinois,69,23.8,7.2,100
Indiana,65.8,26.1,8.1,100
Iowa,69.5,22.1,8.4,100
Kansas,68.3,24.5,7.1,100
Kentucky,66.2,23.7,10.1,100
Louisiana,70.8,23,6.3,100
Maine,64.9,27.7,7.5,100
Maryland,72.3,21.4,6.3,100
Massachusetts,73.1,21.3,5.6,100
Michigan,67.9,23.8,8.2,100
Minnesota,70.5,23.5,6,100
Mississippi,68.5,23,8.5,100
Missouri,69.9,23.6,6.5,100
Montana,66.1,24.4,9.5,100
Nebraska,71.2,22.7,6.1,100
Nevada,69.1,22.2,8.6,100
New Hampshire,68.3,24.7,7,100
New Jersey,72.7,22.9,4.3,100
New Mexico,62.2,27.5,10.3,100
New York,73.2,19.7,7.2,100
North Carolina,73.6,20.3,6.1,100
North Dakota,70.4,21.8,7.7,100
Ohio,68.3,25.3,6.4,100
Oklahoma,67.4,24.3,8.3,100
Oregon,65.9,26.3,7.8,100
Pennsylvania,72.3,21.9,5.8,100
Rhode Island,70.4,23.8,5.8,100
South Carolina,68.4,24.8,6.7,100
South Dakota,66.3,25.9,7.8,100
Tennessee,69.9,22.5,7.6,100
Texas,69.3,23.8,6.9,100
Utah,69.3,23.2,7.5,100
Vermont,67.1,23.9,9,100
Virginia,71.6,21.8,6.6,100
Washington,66.2,25.5,8.3,100
West Virginia,65.2,27.2,7.7,100
Wisconsin,69.6,23.1,7.3,100
Wyoming,66.1,26.5,7.4,100
United States,70.5,22.5,7,100
