STATE,HD2DVW,HD2DSW,HD2DNVW,HD2DTOT
Alabama,65.8,33.3,1,100
Alaska,55.3,43,1.7,100
Arizona,56.5,40.7,2.8,100
Arkansas,60.5,38.2,1.3,100
California,57.3,40.3,2.5,100
Colorado,53.3,44.5,2.2,100
Connecticut,56.8,41.3,1.9,100
Delaware,59.8,38.5,1.8,100
District of Columbia,57.1,41.5,1.4,100
Florida,60.2,37.5,2.3,100
Georgia,61.8,36.4,1.8,100
Hawaii,51.1,47.4,1.5,100
Idaho,57.7,41,1.3,100
Illinois,55,43.2,1.8,100
Indiana,58.5,39.5,2,100
Iowa,56.5,41.3,2.1,100
Kansas,54.8,43.5,1.7,100
Kentucky,61.2,37.2,1.6,100
Louisiana,64,34.3,1.7,100
Maine,57,41.6,1.4,100
Maryland,57.4,40.8,1.8,100
Massachusetts,57.5,41.3,1.2,100
Michigan,58.7,39.6,1.7,100
Minnesota,56.2,42.3,1.6,100
Mississippi,65.5,31.9,2.6,100
Missouri,60.3,38.2,1.5,100
Montana,51.9,46.6,1.5,100
Nebraska,59.6,39,1.4,100
Nevada,59.6,37.5,2.9,100
New Hampshire,57.5,40.9,1.6,100
New Jersey,60.2,37.6,2.2,100
New Mexico,55.9,41.3,2.8,100
New York,60.8,37.1,2.1,100
North Carolina,60.7,38.1,1.2,100
North Dakota,55.9,42.2,1.9,100
Ohio,58.9,39.3,1.8,100
Oklahoma,61.7,35.9,2.4,100
Oregon,52.3,44.9,2.8,100
Pennsylvania,60.5,38.1,1.4,100
Rhode Island,58,40.2,1.8,100
South Carolina,63.7,34.9,1.4,100
South Dakota,56,42.4,1.5,100
Tennessee,60.8,37.7,1.6,100
Texas,61,37.1,1.9,100
Utah,52.7,45.1,2.2,100
Vermont,55.6,42.6,1.7,100
Virginia,57.3,39.9,2.8,100
Washington,52.8,44.8,2.4,100
West Virginia,64.4,34.7,1,100
Wisconsin,57,41.4,1.6,100
Wyoming,57.5,40.5,2,100
United States,58.8,39.2,2,100
