COUNTY,STABRV,FIPS,BIRTHS,TOTPOP,BIRTHRATE,RPRAFEM,FERTRATE
Baldwin County,AL,01003,2501,239294,10.45,41284,60.58
Calhoun County,AL,01015,1328,115972,11.45,22389,59.31
Etowah County,AL,01055,1138,103162,11.03,18806,60.51
Houston County,AL,01069,1328,107458,12.36,20342,65.28
Jefferson County,AL,01073,8048,667820,12.05,138186,58.24
Lee County,AL,01081,1903,177218,10.74,41396,45.97
Madison County,AL,01089,4326,395211,10.95,78302,55.25
Mobile County,AL,01097,5097,413073,12.34,82893,61.49
Montgomery County,AL,01101,3058,227434,13.45,47258,64.71
Morgan County,AL,01103,1402,123668,11.34,22130,63.35
Shelby County,AL,01117,2297,226902,10.12,44440,51.69
Tuscaloosa County,AL,01125,2445,227007,10.77,53233,45.93
Unidentified Counties,AL,01999,23183,2015658,11.5,365741,63.39
Anchorage Borough,AK,02020,3572,288121,12.4,60618,58.93
Unidentified Counties,AK,02999,5795,444552,13.04,83657,69.27
Cochise County,AZ,04003,1245,126050,9.88,20440,60.91
Coconino County,AZ,04005,1300,145052,8.96,35971,36.14
Maricopa County,AZ,04013,50344,4496588,11.2,911627,55.22
Mohave County,AZ,04015,1808,217692,8.31,29032,62.28
Navajo County,AZ,04017,1208,108147,11.17,18364,65.78
Pima County,AZ,04019,9989,1052030,9.49,204631,48.81
Pinal County,AZ,04021,4845,449557,10.78,76331,63.47
Yavapai County,AZ,04025,1729,242253,7.14,31479,54.93
Yuma County,AZ,04027,2918,206990,14.1,37289,78.25
Unidentified Counties,AZ,04999,2530,231957,10.91,39446,64.14
Benton County,AR,05007,3771,293692,12.84,60692,62.13
Faulkner County,AR,05045,1470,125106,11.75,29120,50.48
Pulaski County,AR,05119,5012,397821,12.6,81512,61.49
Saline County,AR,05125,1420,125233,11.34,23899,59.42
Sebastian County,AR,05131,1620,128400,12.62,24785,65.36
Washington County,AR,05143,3178,250057,12.71,57085,55.67
Unidentified Counties,AR,05999,19494,1705582,11.43,305946,63.72
Alameda County,CA,06001,16935,1648556,10.27,350221,48.36
Butte County,CA,06007,2065,208309,9.91,43854,47.09
Contra Costa County,CA,06013,11891,1161413,10.24,222504,53.44
El Dorado County,CA,06017,1594,193221,8.25,31256,51
Fresno County,CA,06019,13970,1013581,13.78,211917,65.92
Humboldt County,CA,06023,1264,136310,9.27,28281,44.69
Imperial County,CA,06025,2367,179851,13.16,34268,69.07
Kern County,CA,06029,12494,917673,13.61,187734,66.55
Kings County,CA,06031,2150,153443,14.01,29420,73.08
Los Angeles County,CA,06037,96241,9829544,9.79,2060296,46.71
Madera County,CA,06039,2029,159410,12.73,34032,59.62
Marin County,CA,06041,2331,260206,8.96,39482,59.04
Merced County,CA,06047,3863,286461,13.49,60329,64.03
Monterey County,CA,06053,5430,437325,12.42,85866,63.24
Napa County,CA,06055,1203,136207,8.83,24873,48.37
Orange County,CA,06059,30763,3167809,9.71,625534,49.18
Placer County,CA,06061,3846,412300,9.33,73100,52.61
Riverside County,CA,06065,27447,2458395,11.16,495960,55.34
Sacramento County,CA,06067,18384,1588921,11.57,330420,55.64
San Bernardino County,CA,06071,26688,2194710,12.16,463070,57.63
San Diego County,CA,06073,37407,3286069,11.38,678063,55.17
San Francisco County,CA,06075,7486,815201,9.18,177470,42.18
San Joaquin County,CA,06077,9720,789410,12.31,161165,60.31
San Luis Obispo County,CA,06079,2445,283159,8.63,54254,45.07
San Mateo County,CA,06081,7450,737888,10.1,141075,52.81
Santa Barbara County,CA,06083,5491,446475,12.3,95562,57.46
Santa Clara County,CA,06085,19174,1885508,10.17,378494,50.66
Santa Cruz County,CA,06087,2255,267792,8.42,55906,40.34
Shasta County,CA,06089,1838,182139,10.09,32445,56.65
Solano County,CA,06095,4988,451716,11.04,86512,57.66
Sonoma County,CA,06097,4565,485887,9.4,88672,51.48
Stanislaus County,CA,06099,7324,552999,13.24,112752,64.96
Tulare County,CA,06107,6767,477054,14.18,100115,67.59
Ventura County,CA,06111,8688,839784,10.35,161468,53.81
Yolo County,CA,06113,1967,216986,9.07,54875,35.85
Unidentified Counties,CA,06999,10088,976124,10.33,162046,62.25
Adams County,CO,08001,6199,522140,11.87,113659,54.54
Arapahoe County,CO,08005,7672,654900,11.71,136289,56.29
Boulder County,CO,08013,2566,329543,7.79,70220,36.54
Denver County,CO,08031,9232,711463,12.98,177777,51.93
Douglas County,CO,08035,3758,368990,10.18,71342,52.68
El Paso County,CO,08041,9249,737867,12.53,154021,60.05
Jefferson County,CO,08059,5546,579581,9.57,113838,48.72
Larimer County,CO,08069,3110,362533,8.58,79633,39.05
Mesa County,CO,08077,1505,157335,9.57,29462,51.08
Pueblo County,CO,08101,1661,169622,9.79,31891,52.08
Weld County,CO,08123,4540,340036,13.35,71106,63.85
Unidentified Counties,CO,08999,7911,878059,9.01,150395,52.6
Fairfield County,CT,09001,10236,959768,10.67,179981,56.87
Hartford County,CT,09003,9041,896854,10.08,172889,52.29
Litchfield County,CT,09005,1510,185000,8.16,29624,50.97
Middlesex County,CT,09007,1378,164759,8.36,28882,47.71
New Haven County,CT,09009,8728,863700,10.11,170834,51.09
New London County,CT,09011,2540,268805,9.45,48504,52.37
Tolland County,CT,09013,1183,150293,7.87,32505,36.39
Windham County,CT,09015,1054,116418,9.05,21727,48.51
Kent County,DE,10001,2071,184149,11.25,36534,56.69
New Castle County,DE,10003,6090,571708,10.65,114409,53.23
Sussex County,DE,10005,2321,247527,9.38,34654,66.98
District of Columbia,DC,11001,8660,670050,12.92,177738,48.72
Alachua County,FL,12001,2581,279238,9.24,70700,36.51
Bay County,FL,12005,2102,179168,11.73,32197,65.29
Brevard County,FL,12009,5066,616628,8.22,99029,51.16
Broward County,FL,12011,20311,1930983,10.52,365435,55.58
Charlotte County,FL,12015,1106,194843,5.68,21046,52.55
Citrus County,FL,12017,1036,158083,6.55,19373,53.48
Clay County,FL,12019,2222,222361,9.99,41776,53.19
Collier County,FL,12021,3211,385980,8.32,52654,60.98
Duval County,FL,12031,12609,999935,12.61,208377,60.51
Escambia County,FL,12033,3800,322390,11.79,63347,59.99
Hernando County,FL,12053,1619,200638,8.07,31932,50.7
Hillsborough County,FL,12057,17179,1478194,11.62,307778,55.82
Indian River County,FL,12061,1245,163662,7.61,21800,57.11
Lake County,FL,12069,3477,395804,8.78,64234,54.13
Lee County,FL,12071,7226,787976,9.17,121563,59.44
Leon County,FL,12073,2781,292817,9.5,76476,36.36
Manatee County,FL,12081,3606,412703,8.74,62815,57.41
Marion County,FL,12083,3568,385915,9.25,60904,58.58
Martin County,FL,12085,1256,159942,7.85,20719,60.62
Miami-Dade County,FL,12086,28119,2662777,10.56,507329,55.43
Okaloosa County,FL,12091,2693,213255,12.63,40255,66.9
Orange County,FL,12095,16061,1422746,11.29,318138,50.48
Osceola County,FL,12097,4708,403282,11.67,84677,55.6
Palm Beach County,FL,12099,14496,1497987,9.68,252123,57.5
Pasco County,FL,12101,5307,584067,9.09,101860,52.1
Pinellas County,FL,12103,7363,956615,7.7,156503,47.05
Polk County,FL,12105,8481,753520,11.26,142940,59.33
St. Johns County,FL,12109,2371,292466,8.11,49954,47.46
St. Lucie County,FL,12111,3365,343579,9.79,56817,59.23
Santa Rosa County,FL,12113,2045,193998,10.54,34699,58.94
Sarasota County,FL,12115,2902,447057,6.49,56272,51.57
Seminole County,FL,12117,4534,470093,9.64,95069,47.69
Volusia County,FL,12127,4903,564412,8.69,92492,53.01
Unidentified Counties,FL,12999,12911,1408014,9.17,204307,63.19
Bartow County,GA,13015,1327,110843,11.97,21775,60.94
Bibb County,GA,13021,2094,156762,13.36,33114,63.24
Carroll County,GA,13045,1587,121968,13.01,26531,59.82
Chatham County,GA,13051,3639,296329,12.28,64614,56.32
Cherokee County,GA,13057,2808,274615,10.23,52250,53.74
Clarke County,GA,13059,1410,128711,10.95,37268,37.83
Clayton County,GA,13063,3439,297100,11.58,68043,50.54
Cobb County,GA,13067,8925,766802,11.64,162325,54.98
Columbia County,GA,13073,1790,159639,11.21,32520,55.04
Coweta County,GA,13077,1632,149956,10.88,29505,55.31
DeKalb County,GA,13089,10040,757718,13.25,168570,59.56
Douglas County,GA,13097,1669,145814,11.45,30687,54.39
Fayette County,GA,13113,893,120574,7.41,20903,42.72
Forsyth County,GA,13117,2274,260206,8.74,50473,45.05
Fulton County,GA,13121,12252,1065334,11.5,245643,49.88
Gwinnett County,GA,13135,10766,964546,11.16,202183,53.25
Hall County,GA,13139,2606,207369,12.57,39869,65.36
Henry County,GA,13151,2772,245235,11.3,52110,53.2
Houston County,GA,13153,1922,166829,11.52,35262,54.51
Lowndes County,GA,13185,1677,119276,14.06,28127,59.62
Muscogee County,GA,13215,2727,205617,13.26,43421,62.8
Paulding County,GA,13223,1825,173780,10.5,36141,50.5
Richmond County,GA,13245,2756,205673,13.4,43705,63.06
Whitfield County,GA,13313,1220,102848,11.86,20199,60.4
Unidentified Counties,GA,13999,40023,3596022,11.13,675584,59.24
Hawaii County,HI,15001,2060,202906,10.15,34886,59.05
Honolulu County,HI,15003,11069,1000890,11.06,186965,59.2
Maui County,HI,15009,1676,164221,10.21,29357,57.09
Unidentified Counties,HI,15999,815,73536,11.08,12680,64.27
Ada County,ID,16001,5084,511931,9.93,102880,49.42
Bonneville County,ID,16019,1820,127930,14.23,25720,70.76
Canyon County,ID,16027,3256,243115,13.39,49664,65.56
Kootenai County,ID,16055,1882,179789,10.47,32614,57.71
Unidentified Counties,ID,16999,10385,838158,12.39,158471,65.53
Champaign County,IL,17019,2097,205943,10.18,51183,40.97
Cook County,IL,17031,54113,5173146,10.46,1087728,49.75
DeKalb County,IL,17037,1053,100414,10.49,23786,44.27
DuPage County,IL,17043,9770,924885,10.56,174720,55.92
Kane County,IL,17089,5620,515588,10.9,98235,57.21
Kankakee County,IL,17091,1154,106601,10.83,20889,55.24
Kendall County,IL,17093,1580,134867,11.72,28171,56.09
Lake County,IL,17097,6857,711239,9.64,132386,51.8
LaSalle County,IL,17099,1133,108965,10.4,18568,61.02
McHenry County,IL,17111,3099,311122,9.96,56439,54.91
McLean County,IL,17113,1695,170889,9.92,40083,42.29
Macon County,IL,17115,1175,102432,11.47,19064,61.63
Madison County,IL,17119,2794,264490,10.56,49996,55.88
Peoria County,IL,17143,2149,179432,11.98,34653,62.01
Rock Island County,IL,17161,1558,142909,10.9,25674,60.68
St. Clair County,IL,17163,2748,254796,10.79,48916,56.18
Sangamon County,IL,17167,2062,194734,10.59,36803,56.03
Tazewell County,IL,17179,1298,130413,9.95,23155,56.06
Will County,IL,17197,6987,697252,10.02,134836,51.82
Winnebago County,IL,17201,3283,283119,11.6,52564,62.46
Unidentified Counties,IL,17999,19964,1958233,10.19,334133,59.75
Allen County,IN,18003,5269,388608,13.56,78442,67.17
Clark County,IN,18019,1445,122738,11.77,23749,60.84
Delaware County,IN,18035,1122,111871,10.03,25742,43.59
Elkhart County,IN,18039,2926,206921,14.14,39618,73.86
Hamilton County,IN,18057,3996,356650,11.2,71612,55.8
Hendricks County,IN,18063,1814,179355,10.11,34646,52.36
Johnson County,IN,18081,1878,164298,11.43,32340,58.07
Lake County,IN,18089,5437,498558,10.91,95421,56.98
La Porte County,IN,18091,1169,112390,10.4,18518,63.13
Madison County,IN,18095,1407,130782,10.76,23585,59.66
Marion County,IN,18097,13761,971102,14.17,214829,64.06
Monroe County,IN,18105,1126,139875,8.05,36967,30.46
Porter County,IN,18127,1646,174243,9.45,33246,49.51
St. Joseph County,IN,18141,3276,272212,12.03,55640,58.88
Tippecanoe County,IN,18157,2025,187076,10.82,45127,44.87
Vanderburgh County,IN,18163,2150,179987,11.95,36181,59.42
Vigo County,IN,18167,1132,105994,10.68,21378,52.95
Unidentified Counties,IN,18999,28367,2503325,11.33,441110,64.31
Black Hawk County,IA,19013,1627,130368,12.48,27699,58.74
Johnson County,IA,19103,1655,154748,10.69,39497,41.9
Linn County,IA,19113,2573,228939,11.24,44990,57.19
Polk County,IA,19153,6488,496844,13.06,103482,62.7
Scott County,IA,19163,1869,174170,10.73,33577,55.66
Woodbury County,IA,19193,1401,105607,13.27,20499,68.34
Unidentified Counties,IA,19999,21222,1902403,11.16,336583,63.05
Douglas County,KS,20045,1059,119363,8.87,30607,34.6
Johnson County,KS,20091,7028,613219,11.46,121547,57.82
Sedgwick County,KS,20173,6517,523828,12.44,105077,62.02
Shawnee County,KS,20177,1956,178264,10.97,33479,58.42
Wyandotte County,KS,20209,2307,167046,13.81,33896,68.06
Unidentified Counties,KS,20999,15838,1332862,11.88,244025,64.9
Boone County,KY,21015,1746,137412,12.71,26208,66.62
Fayette County,KY,21067,3666,321793,11.39,73252,50.05
Hardin County,KY,21093,1436,111607,12.87,21312,67.38
Jefferson County,KY,21111,9374,777874,12.05,155698,60.21
Kenton County,KY,21117,2161,169495,12.75,33660,64.2
Warren County,KY,21227,1817,137212,13.24,31005,58.6
Unidentified Counties,KY,21999,32014,2854001,11.22,517445,61.87
Ascension Parish,LA,22005,1684,128369,13.12,26408,63.77
Bossier Parish,LA,22015,1603,129144,12.41,26148,61.3
Caddo Parish,LA,22017,2815,233092,12.08,45515,61.85
Calcasieu Parish,LA,22019,2568,205282,12.51,40076,64.08
East Baton Rouge Parish,LA,22033,5679,453301,12.53,101492,55.96
Jefferson Parish,LA,22051,5308,433688,12.24,82275,64.52
Lafayette Parish,LA,22055,3388,244205,13.87,51842,65.35
Livingston Parish,LA,22063,1884,145830,12.92,30069,62.66
Orleans Parish,LA,22071,4169,376971,11.06,83976,49.65
Ouachita Parish,LA,22073,2048,158768,12.9,32657,62.71
Rapides Parish,LA,22079,1693,128654,13.16,24536,69
St. Tammany Parish,LA,22103,3078,269388,11.43,49785,61.83
Tangipahoa Parish,LA,22105,1968,135217,14.55,28031,70.21
Terrebonne Parish,LA,22109,1376,108708,12.66,21010,65.49
Unidentified Counties,LA,22999,18176,1473430,12.34,272741,66.64
Androscoggin County,ME,23001,1123,111034,10.11,20698,54.26
Cumberland County,ME,23005,2871,305231,9.41,58902,48.74
Kennebec County,ME,23011,1102,124486,8.85,22104,49.86
Penobscot County,ME,23019,1299,152765,8.5,28752,45.18
York County,ME,23031,1852,214591,8.63,37346,49.59
Unidentified Counties,ME,23999,3759,464140,8.1,73016,51.48
Anne Arundel County,MD,24003,7004,590336,11.86,114920,60.95
Baltimore County,MD,24005,9377,849316,11.04,168967,55.5
Carroll County,MD,24013,1807,173873,10.39,30754,58.76
Cecil County,MD,24015,1129,103905,10.87,19010,59.39
Charles County,MD,24017,1844,168698,10.93,33203,55.54
Frederick County,MD,24021,3194,279835,11.41,54302,58.82
Harford County,MD,24025,2628,262977,9.99,48729,53.93
Howard County,MD,24027,3250,334529,9.72,65363,49.72
Montgomery County,MD,24031,11532,1054827,10.93,201574,57.21
Prince George's County,MD,24033,10785,955306,11.29,193170,55.83
St. Mary's County,MD,24037,1411,114468,12.33,22915,61.58
Washington County,MD,24043,1593,154937,10.28,26814,59.41
Baltimore city,MD,24510,7233,576498,12.55,134037,53.96
Unidentified Counties,MD,24999,5498,545624,10.08,97753,56.24
Barnstable County,MA,25001,1492,232411,6.42,31387,47.54
Berkshire County,MA,25003,972,128657,7.55,21992,44.2
Bristol County,MA,25005,5767,580164,9.94,111090,51.91
Essex County,MA,25009,8491,807074,10.52,153796,55.21
Hampden County,MA,25013,4845,462718,10.47,91728,52.82
Hampshire County,MA,25015,963,161572,5.96,40599,23.72
Middlesex County,MA,25017,16047,1614742,9.94,335419,47.84
Norfolk County,MA,25021,7298,724505,10.07,141937,51.42
Plymouth County,MA,25023,5473,533003,10.27,94729,57.78
Suffolk County,MA,25025,8206,771245,10.64,205198,39.99
