FIPS,STATE,COUNTY,AAVC,VCR,VCRQRT
01000,Alabama,,23307,480,
01001,Alabama,Autauga,149,272,2
01003,Alabama,Baldwin,408,204,1
01005,Alabama,Barbour,106,414,3
01007,Alabama,Bibb,20,89,1
01009,Alabama,Blount,279,483,3
01011,Alabama,Bullock,33,311,2
01013,Alabama,Butler,117,582,4
01015,Alabama,Calhoun,871,756,4
01017,Alabama,Chambers,181,529,4
01019,Alabama,Cherokee,86,330,2
01021,Alabama,Chilton,223,508,4
01023,Alabama,Choctaw,17,128,1
01025,Alabama,Clarke,116,475,3
01027,Alabama,Clay,42,309,2
01029,Alabama,Cleburne,16,103,1
01031,Alabama,Coffee,142,276,2
01033,Alabama,Colbert,218,400,3
01035,Alabama,Conecuh,48,387,2
01037,Alabama,Coosa,27,255,1
01039,Alabama,Covington,125,331,2
01041,Alabama,Crenshaw,45,332,2
01043,Alabama,Cullman,106,129,1
01045,Alabama,Dale,214,437,3
01047,Alabama,Dallas,380,925,4
01049,Alabama,DeKalb,196,312,2
01051,Alabama,Elmore,195,239,1
01053,Alabama,Escambia,169,446,3
01055,Alabama,Etowah,619,604,4
01057,Alabama,Fayette,,,3
01059,Alabama,Franklin,83,264,2
01061,Alabama,Geneva,111,414,3
01063,Alabama,Greene,55,669,4
01065,Alabama,Hale,29,209,1
01067,Alabama,Henry,34,197,1
01069,Alabama,Houston,508,488,3
01071,Alabama,Jackson,163,317,2
01073,Alabama,Jefferson,5623,873,4
01075,Alabama,Lamar,23,162,1
01077,Alabama,Lauderdale,248,269,2
01079,Alabama,Lawrence,84,260,1
01081,Alabama,Lee,652,416,3
01083,Alabama,Limestone,147,160,1
01085,Alabama,Lowndes,56,671,4
01087,Alabama,Macon,138,734,4
01089,Alabama,Madison,2155,611,4
01091,Alabama,Marengo,88,449,3
01093,Alabama,Marion,89,296,2
01095,Alabama,Marshall,272,286,2
01097,Alabama,Mobile,2273,548,4
01099,Alabama,Monroe,105,492,3
01101,Alabama,Montgomery,1200,532,4
01103,Alabama,Morgan,216,181,1
01105,Alabama,Perry,22,381,2
01107,Alabama,Pickens,35,166,1
01109,Alabama,Pike,188,564,4
01111,Alabama,Randolph,45,196,1
01113,Alabama,Russell,306,505,4
01115,Alabama,St. Clair,261,299,2
01117,Alabama,Shelby,419,264,2
01119,Alabama,Sumter,57,435,3
01121,Alabama,Talladega,378,469,3
01123,Alabama,Tallapoosa,258,639,4
01125,Alabama,Tuscaloosa,819,402,3
01127,Alabama,Walker,292,450,3
01129,Alabama,Washington,41,243,1
01131,Alabama,Wilcox,72,645,4
01133,Alabama,Winston,24,107,1
02000,Alaska,,5325,720,
02013,Alaska,Aleutians East,,,
02016,Alaska,Aleutians West,13,295,1
02020,Alaska,Anchorage,3022,1007,4
02050,Alaska,Bethel,,,2
02060,Alaska,Bristol Bay,0,0,
02063,Alaska,Chugach,20,316,1
02066,Alaska,Copper River,20,316,1
02068,Alaska,Denali,,,
02070,Alaska,Dillingham,,,2
02090,Alaska,Fairbanks North Star,,,2
02100,Alaska,Haines,4,156,1
02105,Alaska,Hoonah-Angoon,,,2
02110,Alaska,Juneau,236,714,4
02122,Alaska,Kenai Peninsula,,,2
02130,Alaska,Ketchikan Gateway,30,358,1
02150,Alaska,Kodiak Island,,,2
02158,Alaska,Kusilvak,,,2
02164,Alaska,Lake and Peninsula,,,2
02170,Alaska,Matanuska-Susitna,,,2
02180,Alaska,Nome,,,2
02185,Alaska,North Slope,79,809,4
02188,Alaska,Northwest Arctic,,,2
02195,Alaska,Petersburg,13,411,2
02198,Alaska,Prince of Wales-Hyder,,,2
02220,Alaska,Sitka,9,101,1
02230,Alaska,Skagway,4,372,
02240,Alaska,Southeast Fairbanks,,,2
02275,Alaska,Wrangell,0,0,1
02282,Alaska,Yakutat,,,
02290,Alaska,Yukon-Koyukuk,,,2
04000,Arizona,,29750,435,
04001,Arizona,Apache,79,109,1
04003,Arizona,Cochise,366,333,3
04005,Arizona,Coconino,498,357,4
04007,Arizona,Gila,303,574,4
04009,Arizona,Graham,36,109,1
04011,Arizona,Greenlee,4,41,1
04012,Arizona,La Paz,50,264,2
04013,Arizona,Maricopa,17044,409,4
04015,Arizona,Mohave,445,221,2
04017,Arizona,Navajo,304,281,2
04019,Arizona,Pima,4761,470,4
04021,Arizona,Pinal,884,221,2
04023,Arizona,Santa Cruz,66,140,1
04025,Arizona,Yavapai,527,300,3
04027,Arizona,Yuma,678,330,3
05000,Arkansas,,15352,516,
05001,Arkansas,Arkansas,88,473,3
05003,Arkansas,Ashley,67,321,2
05005,Arkansas,Baxter,75,182,1
05007,Arkansas,Benton,662,275,2
05009,Arkansas,Boone,206,551,4
05011,Arkansas,Bradley,29,261,2
05013,Arkansas,Calhoun,11,211,1
05015,Arkansas,Carroll,94,337,2
05017,Arkansas,Chicot,41,367,3
05019,Arkansas,Clark,75,329,2
05021,Arkansas,Clay,33,221,1
05023,Arkansas,Cleburne,94,367,3
05025,Arkansas,Cleveland,8,95,1
05027,Arkansas,Columbia,76,317,2
05029,Arkansas,Conway,45,211,1
05031,Arkansas,Craighead,450,431,3
05033,Arkansas,Crawford,234,380,3
05035,Arkansas,Crittenden,624,1274,4
05037,Arkansas,Cross,115,664,4
05039,Arkansas,Dallas,46,597,4
05041,Arkansas,Desha,62,730,4
05043,Arkansas,Drew,68,362,3
05045,Arkansas,Faulkner,441,361,3
05047,Arkansas,Franklin,76,427,3
05049,Arkansas,Fulton,23,184,1
05051,Arkansas,Garland,512,645,4
05053,Arkansas,Grant,46,254,2
05055,Arkansas,Greene,167,379,3
05057,Arkansas,Hempstead,140,628,4
05059,Arkansas,Hot Spring,77,230,2
05061,Arkansas,Howard,21,154,1
05063,Arkansas,Independence,184,496,4
05065,Arkansas,Izard,30,221,1
05067,Arkansas,Jackson,120,692,4
05069,Arkansas,Jefferson,719,1009,4
05071,Arkansas,Johnson,64,244,2
05073,Arkansas,Lafayette,13,178,1
05075,Arkansas,Lawrence,38,227,2
05077,Arkansas,Lee,29,294,2
05079,Arkansas,Lincoln,22,155,1
05081,Arkansas,Little River,18,144,1
05083,Arkansas,Logan,82,380,3
05085,Arkansas,Lonoke,244,340,2
05087,Arkansas,Madison,30,188,1
05089,Arkansas,Marion,56,342,3
05091,Arkansas,Miller,235,537,4
05093,Arkansas,Mississippi,432,987,4
05095,Arkansas,Monroe,28,371,3
05097,Arkansas,Montgomery,20,219,1
05099,Arkansas,Nevada,17,194,1
05101,Arkansas,Newton,25,316,2
05103,Arkansas,Ouachita,113,620,4
05105,Arkansas,Perry,53,519,4
05107,Arkansas,Phillips,146,1192,4
05109,Arkansas,Pike,16,142,1
05111,Arkansas,Poinsett,79,348,3
05113,Arkansas,Polk,60,297,2
05115,Arkansas,Pope,235,372,3
05117,Arkansas,Prairie,14,170,1
05119,Arkansas,Pulaski,4170,1060,4
05121,Arkansas,Randolph,52,295,2
05123,Arkansas,St. Francis,204,777,4
05125,Arkansas,Saline,415,352,3
05127,Arkansas,Scott,33,318,2
05129,Arkansas,Searcy,10,127,1
05131,Arkansas,Sebastian,808,636,4
05133,Arkansas,Sevier,38,216,1
05135,Arkansas,Sharp,,,3
05137,Arkansas,Stone,30,239,2
05139,Arkansas,Union,234,583,4
05141,Arkansas,Van Buren,47,278,2
05143,Arkansas,Washington,700,455,3
05145,Arkansas,White,189,344,3
05147,Arkansas,Woodruff,11,161,1
05149,Arkansas,Yell,73,334,2
06000,California,,164253,421,
06001,California,Alameda,10242,629,4
06003,California,Alpine,5,442,3
06005,California,Amador,87,237,1
06007,California,Butte,734,327,2
06009,California,Calaveras,146,327,2
06011,California,Colusa,43,201,1
06013,California,Contra Costa,3773,336,2
06015,California,Del Norte,167,609,4
06017,California,El Dorado,399,218,1
06019,California,Fresno,5264,542,4
06021,California,Glenn,114,408,2
06023,California,Humboldt,584,432,3
06025,California,Imperial,630,366,2
06027,California,Inyo,110,600,4
06029,California,Kern,4797,545,4
06031,California,Kings,668,443,3
