STATE,YESPCT,NOPCT,TOTALPCT
Alabama,77.7,22.3,100
Alaska,83.3,16.7,100
Arizona,75.4,24.6,100
Arkansas,81.1,18.9,100
California,68.5,31.5,100
Colorado,79,21,100
Connecticut,76.9,23.1,100
Delaware,74.4,25.6,100
District of Columbia,74.3,25.7,100
Florida,74.6,25.4,100
Georgia,78,22,100
Hawaii,78.7,21.3,100
Idaho,86.3,13.7,100
Illinois,74.9,25.1,100
Indiana,83.8,16.2,100
Iowa,82.7,17.3,100
Kansas,81.4,18.6,100
Kentucky,82.7,17.3,100
Louisiana,79.3,20.7,100
Maine,85.4,14.6,100
Maryland,72.9,27.1,100
Massachusetts,78.2,21.8,100
Michigan,80.8,19.2,100
Minnesota,80.2,19.8,100
Mississippi,77.7,22.3,100
Missouri,83.9,16.1,100
Montana,85.8,14.2,100
Nebraska,81.3,18.7,100
Nevada,71.5,28.5,100
New Hampshire,82.8,17.2,100
New Jersey,69.4,30.6,100
New Mexico,74.9,25.1,100
New York,70.1,29.9,100
North Carolina,77.6,22.4,100
North Dakota,82.8,17.2,100
Ohio,83,17,100
Oklahoma,79,21,100
Oregon,79,21,100
Pennsylvania,80,20,100
Rhode Island,72.8,27.2,100
South Carolina,81,19,100
South Dakota,85.9,14.1,100
Tennessee,82.7,17.3,100
Texas,69.9,30.1,100
United States,76.2,23.8,100
Utah,84.8,15.2,100
Vermont,86.1,13.9,100
Virginia,77.9,22.1,100
Washington,78.8,21.2,100
West Virginia,85.4,14.6,100
Wisconsin,82.5,17.5,100
Wyoming,85.3,14.7,100
