STATE,YEAR,HLTHIND,N,PCT,PCT95CILB,PCT95CIUB
Alabama,2016,Mistimed,,,,
Alabama,2016,Unwanted pregnancy,,,,
Alabama,2016,Unsure whether wanted pregnancy,,,,
Alabama,2016,Intended pregnancy,,,,
Alaska,2016,Mistimed,1153,17.2,14.6,20.2
Alaska,2016,Unwanted pregnancy,1153,4.8,3.5,6.5
Alaska,2016,Unsure whether wanted pregnancy,1153,16.5,14.1,19.1
Alaska,2016,Intended pregnancy,1153,61.5,58,64.9
Arizona,2016,Mistimed,,,,
Arizona,2016,Unwanted pregnancy,,,,
Arizona,2016,Unsure whether wanted pregnancy,,,,
Arizona,2016,Intended pregnancy,,,,
Arkansas,2016,Mistimed,894,21.5,17.7,25.8
Arkansas,2016,Unwanted pregnancy,894,9.8,7.2,13
Arkansas,2016,Unsure whether wanted pregnancy,894,17.7,14.3,21.6
Arkansas,2016,Intended pregnancy,894,51.1,46.2,56
Colorado,2016,Mistimed,1600,18.5,15.9,21.4
Colorado,2016,Unwanted pregnancy,1600,4.3,3,6.2
Colorado,2016,Unsure whether wanted pregnancy,1600,16,13.5,18.8
Colorado,2016,Intended pregnancy,1600,61.2,57.7,64.6
Connecticut,2016,Mistimed,1279,16.9,14.7,19.5
Connecticut,2016,Unwanted pregnancy,1279,4.7,3.6,6.2
Connecticut,2016,Unsure whether wanted pregnancy,1279,14.6,12.4,17.2
Connecticut,2016,Intended pregnancy,1279,63.7,60.5,66.8
Delaware,2016,Mistimed,926,20.8,18.1,23.8
Delaware,2016,Unwanted pregnancy,926,8.1,6.4,10.2
Delaware,2016,Unsure whether wanted pregnancy,926,16.1,13.7,18.8
Delaware,2016,Intended pregnancy,926,55,51.6,58.4
District of Columbia,2016,Mistimed,,,,
District of Columbia,2016,Unwanted pregnancy,,,,
District of Columbia,2016,Unsure whether wanted pregnancy,,,,
District of Columbia,2016,Intended pregnancy,,,,
Florida,2016,Mistimed,,,,
Florida,2016,Unwanted pregnancy,,,,
Florida,2016,Unsure whether wanted pregnancy,,,,
Florida,2016,Intended pregnancy,,,,
Georgia,2016,Mistimed,,,,
Georgia,2016,Unwanted pregnancy,,,,
Georgia,2016,Unsure whether wanted pregnancy,,,,
Georgia,2016,Intended pregnancy,,,,
Hawaii,2016,Mistimed,,,,
Hawaii,2016,Unwanted pregnancy,,,,
Hawaii,2016,Unsure whether wanted pregnancy,,,,
Hawaii,2016,Intended pregnancy,,,,
Illinois,2016,Mistimed,1373,21.2,18.8,23.7
Illinois,2016,Unwanted pregnancy,1373,6.4,5.1,8
Illinois,2016,Unsure whether wanted pregnancy,1373,14.4,12.4,16.6
Illinois,2016,Intended pregnancy,1373,58.1,55.1,61
Indiana,2016,Mistimed,,,,
Indiana,2016,Unwanted pregnancy,,,,
Indiana,2016,Unsure whether wanted pregnancy,,,,
Indiana,2016,Intended pregnancy,,,,
Iowa,2016,Mistimed,968,17.1,14,20.8
Iowa,2016,Unwanted pregnancy,968,4.5,3,6.7
Iowa,2016,Unsure whether wanted pregnancy,968,16.7,13.6,20.3
Iowa,2016,Intended pregnancy,968,61.7,57.3,65.9
Kansas,2016,Mistimed,,,,
Kansas,2016,Unwanted pregnancy,,,,
Kansas,2016,Unsure whether wanted pregnancy,,,,
Kansas,2016,Intended pregnancy,,,,
Kentucky,2016,Mistimed,,,,
Kentucky,2016,Unwanted pregnancy,,,,
Kentucky,2016,Unsure whether wanted pregnancy,,,,
Kentucky,2016,Intended pregnancy,,,,
Louisiana,2016,Mistimed,875,27.9,25,31
Louisiana,2016,Unwanted pregnancy,875,8.8,7.1,10.9
Louisiana,2016,Unsure whether wanted pregnancy,875,13.9,11.7,16.4
Louisiana,2016,Intended pregnancy,875,49.5,46.1,52.9
Maine,2016,Mistimed,806,16.4,13.4,19.9
Maine,2016,Unwanted pregnancy,806,4.3,2.8,6.6
Maine,2016,Unsure whether wanted pregnancy,806,16.3,13.2,20.1
Maine,2016,Intended pregnancy,806,63,58.7,67.2
Maryland,2016,Mistimed,1150,20.5,18,23.3
Maryland,2016,Unwanted pregnancy,1150,5.8,4.5,7.6
Maryland,2016,Unsure whether wanted pregnancy,1150,14.6,12.4,17.1
Maryland,2016,Intended pregnancy,1150,59.1,55.8,62.3
Massachusetts,2016,Mistimed,1302,14,11.9,16.4
Massachusetts,2016,Unwanted pregnancy,1302,4.7,3.5,6.4
Massachusetts,2016,Unsure whether wanted pregnancy,1302,14.6,12.2,17.4
Massachusetts,2016,Intended pregnancy,1302,66.6,63.3,69.8
Michigan,2016,Mistimed,1750,19.5,17.2,21.9
Michigan,2016,Unwanted pregnancy,1750,6.1,4.9,7.6
Michigan,2016,Unsure whether wanted pregnancy,1750,15.6,13.6,17.8
Michigan,2016,Intended pregnancy,1750,58.9,56,61.7
Minnesota,2016,Mistimed,,,,
Minnesota,2016,Unwanted pregnancy,,,,
Minnesota,2016,Unsure whether wanted pregnancy,,,,
Minnesota,2016,Intended pregnancy,,,,
Mississippi,2016,Mistimed,,,,
Mississippi,2016,Unwanted pregnancy,,,,
Mississippi,2016,Unsure whether wanted pregnancy,,,,
Mississippi,2016,Intended pregnancy,,,,
Missouri,2016,Mistimed,1035,18.2,15.6,21.1
Missouri,2016,Unwanted pregnancy,1035,9.4,7.5,11.9
Missouri,2016,Unsure whether wanted pregnancy,1035,18.1,15.5,21
Missouri,2016,Intended pregnancy,1035,54.2,50.7,57.7
Montana,2016,Mistimed,,,,
Montana,2016,Unwanted pregnancy,,,,
Montana,2016,Unsure whether wanted pregnancy,,,,
Montana,2016,Intended pregnancy,,,,
Nebraska,2016,Mistimed,1290,18.2,15.8,20.9
