FIPS,STATE,COUNTY,CIPPCT,CIP95CILB,CIP95CIUB,CIPQRT,CIPPCTAIAN,CIPPCTASIAN,CIPPCTBLACK,CIPPCTHSP,CIPPCTWH
01000,Alabama,,21,20,22,,26,12,38,38,13
01001,Alabama,Autauga,15,9,20,1,,17,50,14,16
01003,Alabama,Baldwin,12,7,18,1,31,,16,24,8
01005,Alabama,Barbour,38,24,51,4,,,59,88,15
01007,Alabama,Bibb,22,14,30,2,,,42,8,25
01009,Alabama,Blount,19,14,24,1,,,3,39,15
01011,Alabama,Bullock,39,24,53,4,,,56,67,
01013,Alabama,Butler,31,19,43,4,,,43,77,10
01015,Alabama,Calhoun,17,9,24,1,,14,37,17,13
01017,Alabama,Chambers,26,16,36,3,,,27,75,15
01019,Alabama,Cherokee,23,14,32,2,,,5,47,12
01021,Alabama,Chilton,21,13,29,2,,,27,31,18
01023,Alabama,Choctaw,29,18,40,3,,,55,,14
01025,Alabama,Clarke,29,19,39,3,,,51,,17
01027,Alabama,Clay,24,15,33,3,,,37,36,14
01029,Alabama,Cleburne,20,12,27,1,,,,48,19
01031,Alabama,Coffee,21,14,27,2,68,,58,44,10
01033,Alabama,Colbert,21,13,29,2,20,,41,30,17
01035,Alabama,Conecuh,35,22,49,4,,,45,,11
01037,Alabama,Coosa,29,18,40,3,,,51,,6
01039,Alabama,Covington,23,14,31,2,,,38,45,20
01041,Alabama,Crenshaw,26,16,36,3,,,19,22,12
01043,Alabama,Cullman,17,11,23,1,,,3,18,15
01045,Alabama,Dale,26,19,33,3,,,51,24,26
01047,Alabama,Dallas,42,28,56,4,,,52,,24
01049,Alabama,DeKalb,20,13,27,1,49,,5,55,23
01051,Alabama,Elmore,17,11,22,1,,,26,40,10
01053,Alabama,Escambia,26,17,35,3,20,,58,22,21
01055,Alabama,Etowah,23,14,31,2,81,26,42,48,17
01057,Alabama,Fayette,24,15,33,3,,,48,,28
01059,Alabama,Franklin,23,15,31,2,,,33,40,29
01061,Alabama,Geneva,32,22,42,4,,,53,48,27
01063,Alabama,Greene,44,27,60,4,,,54,,30
01065,Alabama,Hale,30,18,42,4,,,50,,13
01067,Alabama,Henry,24,15,32,2,,,62,6,10
01069,Alabama,Houston,23,17,30,2,,13,47,34,13
01071,Alabama,Jackson,23,17,30,2,,,15,81,21
01073,Alabama,Jefferson,20,16,24,1,63,5,33,35,8
01075,Alabama,Lamar,21,13,30,2,,,84,,17
01077,Alabama,Lauderdale,20,13,26,1,,,35,4,12
01079,Alabama,Lawrence,22,14,30,2,,,37,26,25
01081,Alabama,Lee,17,12,22,1,,7,36,27,12
01083,Alabama,Limestone,14,9,19,1,30,,27,45,15
01085,Alabama,Lowndes,38,24,52,4,,,39,,5
01087,Alabama,Macon,39,24,55,4,,,39,,10
01089,Alabama,Madison,14,9,18,1,4,1,31,37,7
01091,Alabama,Marengo,30,18,42,4,,,49,98,1
01093,Alabama,Marion,24,15,32,2,,,59,26,22
01095,Alabama,Marshall,25,18,31,3,,2,50,57,21
01097,Alabama,Mobile,27,21,33,3,7,35,42,35,15
01099,Alabama,Monroe,30,18,42,4,,,50,,11
01101,Alabama,Montgomery,28,23,34,3,,11,37,50,5
01103,Alabama,Morgan,20,14,26,1,,40,39,33,11
01105,Alabama,Perry,44,27,61,4,,,67,,45
01107,Alabama,Pickens,31,20,42,4,,,59,,23
01109,Alabama,Pike,28,17,39,3,,,52,47,9
01111,Alabama,Randolph,27,17,38,3,,,40,88,22
01113,Alabama,Russell,32,22,41,4,,37,43,45,17
01115,Alabama,St. Clair,15,9,20,1,31,,27,41,12
01117,Alabama,Shelby,8,5,11,1,,1,8,18,6
01119,Alabama,Sumter,42,27,57,4,,,56,,18
01121,Alabama,Talladega,24,16,32,3,,,42,48,15
01123,Alabama,Tallapoosa,26,17,35,3,,,61,5,11
01125,Alabama,Tuscaloosa,17,12,22,1,,19,39,25,8
01127,Alabama,Walker,23,16,30,2,,,36,48,19
01129,Alabama,Washington,23,14,32,2,16,,29,81,16
01131,Alabama,Wilcox,29,16,43,4,,,57,,2
01133,Alabama,Winston,23,14,31,2,,,,15,25
02000,Alaska,,12,11,13,,30,15,19,13,8
02013,Alaska,Aleutians East,13,8,19,,,,,,
02016,Alaska,Aleutians West,6,3,9,1,9,11,,20,7
02020,Alaska,Anchorage,9,6,12,1,32,17,18,11,5
02050,Alaska,Bethel,37,26,48,4,40,,,7,
