NAME,PERCENT,FIPS
Alabama,34.8,01000
Autauga,37.4,01001
Baldwin,32,01003
Barbour,36.8,01005
Bibb,35,01007
Blount,33.1,01009
Bullock,38.4,01011
Butler,40.2,01013
Calhoun,33.2,01015
Chambers,39.4,01017
Cherokee,31.2,01019
Chilton,34.7,01021
Choctaw,43.1,01023
Clarke,48.6,01025
Clay,36.9,01027
Cleburne,34.2,01029
Coffee,30.6,01031
Colbert,36.6,01033
Conecuh,46.7,01035
Coosa,38.8,01037
Covington,26.9,01039
Crenshaw,32.3,01041
Cullman,30.7,01043
Dale,35.5,01045
Dallas,33.2,01047
De Kalb,28.5,01049
Elmore,39.2,01051
Escambia,44.5,01053
Etowah,28.2,01055
Fayette,39.2,01057
Franklin,34.5,01059
Geneva,35.3,01061
Greene,39,01063
Hale,35.7,01065
Henry,36,01067
Houston,37.3,01069
Jackson,33.7,01071
Jefferson,32.5,01073
Lamar,34,01075
Lauderdale,33.4,01077
Lawrence,34.9,01079
Lee,33.8,01081
Limestone,33.4,01083
Lowndes,42.3,01085
Macon,34.8,01087
Madison,34.9,01089
Marengo,38.8,01091
Marion,34.4,01093
Marshall,28.2,01095
Mobile,38.5,01097
Monroe,48.6,01099
Montgomery,38.6,01101
Morgan,32.7,01103
Perry,38.9,01105
Pickens,36.6,01107
Pike,36.1,01109
Randolph,35.8,01111
Russell,32.2,01113
St Clair,37.1,01115
Shelby,34.1,01117
Sumter,43.9,01119
Talladega,38.9,01121
Tallapoosa,49.7,01123
Tuscaloosa,35.2,01125
Walker,29.1,01127
Washington,45.4,01129
Wilcox,42,01131
Winston,29,01133
Alaska,22.4,02000
Aleutians East,24,02013
Aleutians West,29,02016
Anchorage,25.2,02020
Bethel,8.4,02050
Bristol Bay,,02060
Chugach,25.1,02063
Copper River,25.1,02066
Denali,21.2,02068
Dillingham,10.3,02070
Fairbanks North Star,20.2,02090
Haines,19,02100
Hoonah-Angoon,21,02105
Juneau,30.2,02110
Kenai Peninsula,22.1,02122
Ketchikan Gateway,,02130
Kodiak Island,25.1,02150
Kusilvak,7.6,02158
Lake and Peninsula,18.8,02164
Matanuska-Susitna,25.3,02170
Nome,10.5,02180
North Slope,12.7,02185
Northwest Arctic,10.8,02188
Petersburg,29.6,02195
