REGION,STATE,COUNTY,PRETBRPCT
4,Alabama,Autauga County,13.3
4,Alabama,Baldwin County,10.3
4,Alabama,Barbour County,12.1
4,Alabama,Bibb County,10.8
4,Alabama,Blount County,11.5
4,Alabama,Bullock County,14.1
4,Alabama,Butler County,14.1
4,Alabama,Calhoun County,10.4
4,Alabama,Chambers County,12.9
4,Alabama,Cherokee County,11
4,Alabama,Chilton County,11.3
4,Alabama,Choctaw County,15.7
4,Alabama,Clarke County,14.9
4,Alabama,Clay County,11.1
4,Alabama,Cleburne County,10.7
4,Alabama,Coffee County,10.8
4,Alabama,Colbert County,12
4,Alabama,Conecuh County,13.6
4,Alabama,Coosa County,14.6
4,Alabama,Covington County,11.7
4,Alabama,Crenshaw County,13.5
4,Alabama,Cullman County,11.2
4,Alabama,Dale County,10.7
4,Alabama,Dallas County,13.2
4,Alabama,DeKalb County,10.9
4,Alabama,Elmore County,12.6
4,Alabama,Escambia County,12
4,Alabama,Etowah County,11
4,Alabama,Fayette County,12.7
4,Alabama,Franklin County,12.4
4,Alabama,Geneva County,10.9
4,Alabama,Greene County,12.9
4,Alabama,Hale County,11.9
4,Alabama,Henry County,11.4
4,Alabama,Houston County,11.7
4,Alabama,Jackson County,11.4
4,Alabama,Jefferson County,12.1
4,Alabama,Lamar County,13.6
4,Alabama,Lauderdale County,11.8
4,Alabama,Lawrence County,11.6
4,Alabama,Lee County,11.2
4,Alabama,Limestone County,11.9
4,Alabama,Lowndes County,14.2
4,Alabama,Macon County,13.7
4,Alabama,Madison County,13.1
4,Alabama,Marengo County,14.1
4,Alabama,Marion County,12.8
4,Alabama,Marshall County,11.6
4,Alabama,Mobile County,14.9
4,Alabama,Monroe County,14.2
4,Alabama,Montgomery County,13.9
4,Alabama,Morgan County,11.9
4,Alabama,Perry County,13.1
4,Alabama,Pickens County,13.1
4,Alabama,Pike County,12.9
4,Alabama,Randolph County,12.5
4,Alabama,Russell County,14
4,Alabama,St. Clair County,10.9
4,Alabama,Shelby County,9.7
4,Alabama,Sumter County,15.1
4,Alabama,Talladega County,11.9
4,Alabama,Tallapoosa County,19.2
4,Alabama,Tuscaloosa County,12.3
4,Alabama,Walker County,12.4
4,Alabama,Washington County,15
4,Alabama,Wilcox County,14.4
4,Alabama,Winston County,11.9
10,Alaska,Aleutians East Borough,10.3
10,Alaska,Aleutians West Census Area,
10,Alaska,Anchorage Municipality,9.7
10,Alaska,Bethel Census Area,10.7
10,Alaska,Bristol Bay Borough,9.7
10,Alaska,Chugach Census Area,9.2
10,Alaska,Copper River Census Area,9.2
10,Alaska,Denali Borough,8
10,Alaska,Dillingham Census Area,11
10,Alaska,Fairbanks North Star Borough,7.8
10,Alaska,Haines Borough,6.1
10,Alaska,Hoonah-Angoon Census Area,5.9
10,Alaska,Juneau City and Borough,8.6
10,Alaska,Kenai Peninsula Borough,8.7
10,Alaska,Ketchikan Gateway Borough,10.2
