STATEFP,FER,EA0,EA1,EA2,EA3,EA4,EA5,EA6,EA7,EA8,EA9,EA10,EA11,EA12,EA13,EA14,EA15,EA16,EA17,EA18,EA19,EA20,EA21,EA22,EA23,EA24
01,0,171098,150545,71836,65087,57886,62591,68722,67612,68815,76346,78581,88794,93809,110954,114752,56260,762599,147234,180188,434283,205674,383655,165963,38311,30810
02,0,30333,24872,11229,10421,11214,12079,10520,10223,11172,11263,9887,12218,9317,10412,12001,4886,100847,22138,32420,75608,31295,64207,25747,7124,4927
04,0,248203,246880,88448,91484,87000,98381,112038,103974,110289,143622,105499,138012,111397,107014,131064,91130,884310,164609,319150,727294,327609,678415,297147,70400,49951
05,0,110043,96268,49335,39310,38705,43913,44448,44449,41827,50868,49682,60588,50790,60086,69089,31769,514483,104857,119990,260324,103369,215944,84306,21514,14382
06,0,1387399,1592422,580390,516441,493572,548954,641245,588246,627691,1075303,595999,695226,666065,527305,650161,610149,4340667,514853,1331297,3561671,1594596,4138413,1635598,486254,346939
08,0,191988,160910,87769,68048,70504,73461,78178,75595,81304,96505,75915,87849,71070,71991,83084,49439,624877,131211,211846,510711,243413,725573,313644,71406,51398
09,0,106350,81601,52782,41974,38484,40421,44710,47146,52139,56852,51345,67066,48978,54433,56885,35050,547592,63323,119181,263122,149125,414818,227346,59532,32441
10,0,30900,25259,15586,11445,10240,10751,12491,12733,13898,14809,14244,16169,11465,16405,17305,10387,170098,18597,36528,76837,41029,96469,47170,9221,10850
11,0,26509,16291,13686,7970,6022,8859,7489,6411,7970,6603,7938,7698,7095,7732,10334,5397,62366,10595,17837,41109,11497,84112,64587,28398,14660
12,0,663810,616819,300755,236337,233570,260604,274422,260488,289071,361278,291897,329267,321622,338730,356568,310937,3311828,538301,857441,1757717,1153596,2174903,881944,262124,144011
13,0,374982,326102,181746,144812,141490,148369,156183,153344,171558,192150,162729,190272,181132,208680,214422,109509,1445683,278184,342288,844360,390963,971369,401262,109770,69862
15,0,52273,46130,19421,16100,14997,19343,17614,18695,19081,26403,16859,20643,15485,15901,17729,12313,229067,20924,49830,128397,84485,159314,55151,17317,11665
16,0,64512,58693,26214,26566,25758,25692,24374,26557,29087,31852,26351,31011,23753,27679,30309,17504,230639,50489,83236,169613,83857,159323,54325,14412,12482
17,0,443550,363531,209674,163654,149284,165051,178361,173288,186810,237720,183013,245690,162708,190477,218754,144104,1759921,260034,503781,1053046,528325,1354992,589987,149576,90326
18,0,244224,214210,103799,89005,85752,88922,93483,93458,95046,103525,97479,140006,104611,123348,129105,68202,1155424,197341,267468,509666,275377,537385,235854,50936,36991
19,0,116130,89224,53234,42771,37623,41663,42716,42805,45710,48927,42866,58986,38440,41873,49832,22053,535030,71607,134504,262402,184553,297826,97657,27524,18661
20,0,106370,93164,49738,42523,39423,41094,41824,42343,40051,50816,42906,53197,39673,41123,45584,26186,405398,65508,132847,261523,121780,299710,123979,27775,19637
21,0,157806,145143,60352,55533,56872,57404,62719,61273,62983,70976,68765,118237,83879,91195,86861,40354,738285,172418,177824,358880,178089,321030,145941,40150,24008
22,0,177363,141838,77506,65873,61650,64000,67025,67230,66990,81158,82493,98965,89392,108144,114823,49310,781918,143599,150026,400919,136794,347886,126701,39704,24394
23,0,36937,29718,18622,13234,14271,13976,14017,14558,14661,16627,15766,24627,17505,19245,19882,10790,240305,43193,54600,111176,77396,145753,62424,15168,9963
24,0,210033,184659,97542,74944,73021,79824,79944,79376,86239,97666,87441,95665,82515,92723,96034,63011,802957,108520,216856,462449,208887,664648,373008,97220,86067
25,0,211014,181599,106107,77463,71171,78207,87756,90438,90868,98444,94880,112229,87253,93596,91939,64704,943530,109982,212794,470250,286990,872655,462272,106107,106715
26,0,331215,283537,145472,121722,108779,120833,125799,125650,131940,142564,132712,167501,131563,165735,186481,102603,1569330,237279,453722,941244,490077,911934,422505,99305,65366
27,0,208669,168334,95910,75648,72877,71921,78119,74442,79351,82388,76406,89653,60883,65178,79272,48070,771856,102522,221803,485690,323403,660132,228234,62319,40498
28,0,108849,90320,48120,42559,41460,40893,45581,46233,43106,52577,50937,64866,59845,69711,73980,34121,431459,102927,107923,268862,139930,192514,82022,22269,15327
29,0,217669,176730,95390,78282,71365,79498,81133,82534,80887,89294,83800,120942,85778,108229,113290,59878,1013679,162753,265572,530181,247060,548794,237877,56660,39017
30,0,34622,28760,16237,13044,12840,13181,14004,13095,12601,13238,14796,17471,12463,14313,16224,8650,164091,29818,45473,108630,53624,118561,38138,11049,8088
31,0,76467,64218,34893,26109,26586,27047,26713,30691,27271,34347,28948,33725,24130,25144,27748,16837,268618,35852,85985,171506,101742,195563,67223,16981,12056
32,0,104600,111277,35987,39453,37927,41897,44261,43624,47300,61077,44324,50152,44140,44134,56189,50413,439118,72980,130611,299627,131912,253260,90106,28603,16027
33,0,37119,29001,19123,14847,14685,12982,14714,15428,15947,16851,17726,20195,18114,18718,19542,11732,212480,34657,53071,105269,78873,170642,78299,14214,12126
34,0,304078,237245,160227,113293,106087,113420,121150,126054,133032,157110,129210,157186,113613,116958,134829,101173,1359065,130321,274997,628868,310839,1112601,490354,129204,77401
35,0,71180,68596,28462,28035,26595,31312,32185,32618,32420,48814,34063,36716,36757,38178,46057,22016,282185,55563,77124,204594,91816,166631,92827,20637,21122
36,0,664160,610725,294833,232998,224964,234281,263862,258906,280976,352698,275862,367229,295669,299799,327578,272027,2685892,444260,584489,1359992,917874,2059310,1071456,301304,166548
37,0,353864,311272,155762,131020,124937,134200,140222,147753,150392,170843,151419,195398,185235,200211,196875,92368,1411670,254145,394748,898842,511593,1033847,400887,97900,71923
38,0,33271,23449,11232,10758,9501,10521,10577,10017,10429,9691,9790,15957,7513,9954,10830,6401,107186,17886,31666,74889,53422,76108,18330,5252,3679
39,0,409420,334754,177780,142175,135523,147759,153465,151911,160981,161562,158685,211008,156176,203646,234753,120372,2147043,257999,477554,936211,492653,1041918,437346,103699,70967
40,0,151405,126121,66917,57793,56938,57915,59545,57845,59910,66843,59728,73930,62241,71553,81901,41459,618970,109202,166448,350479,149826,317757,120555,30556,21695
41,0,132770,120965,54693,49440,46947,51895,55745,54806,58123,64432,53136,58526,52302,58436,67620,47185,499498,108596,206309,426624,203947,452128,183635,51786,39468
42,0,408592,347152,187578,147978,143830,144694,159899,158098,166092,176008,165541,229354,174156,207753,234474,124338,2534884,292451,441779,839569,567020,1274303,552738,143686,105976
44,0,31263,32840,13542,11339,12367,10844,12697,14974,14617,17022,12672,17665,16983,17047,16719,10896,159574,29159,37389,82199,46808,113300,52741,13555,9785
45,0,176318,136421,67456,71945,61042,66885,70652,67102,72161,80921,77251,85773,84596,109060,105550,57183,787606,131258,187467,434611,250340,464319,191366,43670,33823
46,0,35106,27849,15881,13024,12125,11478,13284,11626,12688,12240,13333,19402,9833,12233,14383,7594,141849,23584,33905,77680,50973,84123,24443,6850,4916
47,0,239922,213188,90295,84235,78637,86117,91659,89735,94392,110396,105756,148887,111132,129525,137333,71972,1097132,221375,256447,557424,250021,585645,225505,60235,44125
48,0,1166704,1134419,458198,432650,416515,463415,515146,487924,523861,751668,498809,555946,575348,482788,508809,296224,3365153,655997,970330,2386824,980301,2561925,982121,228010,163664
49,0,146655,107669,62836,54954,51706,53505,55897,58578,55329,60955,52183,51870,40198,41062,48168,29254,336307,42752,124293,297537,132227,289679,117408,27394,22928
50,0,17055,13078,9379,5436,6185,6059,6857,6909,7112,7569,7132,10609,7667,8755,10053,4250,106975,13030,21010,50734,31046,77585,36141,8610,7076
51,0,300808,244917,129353,108244,101646,109737,114824,112958,118222,136682,129586,145108,117740,134874,143378,77520,1092542,195130,319290,665870,336132,946808,507188,110364,86225
53,0,261163,242392,110363,98993,93180,100822,102552,97743,103600,118299,100653,105763,90618,93543,110073,77866,867988,165182,332068,694561,397389,863146,361045,85909,63029
54,0,56546,50811,20221,20497,20476,21797,21825,22470,24156,25385,30247,37978,35714,41448,37161,13283,391514,71784,68990,138171,67332,119602,57283,13541,8932
55,0,192404,156530,80462,84851,68072,72754,76029,75682,79574,85223,74130,96723,66311,78762,96270,58744,1014093,113326,239182,498535,327400,582641,202280,53256,35506
56,0,20025,17158,8240,8251,8247,8111,8163,7056,8122,9166,7979,9023,6512,7553,9664,5051,84843,18668,27809,60389,32419,51161,21583,5029,3218
01,2,0,9589,250,79,125,465,650,404,1139,2963,3526,14054,36557,47639,50755,17856,222192,33224,69685,200107,101792,175985,71953,11860,7240
02,2,0,524,0,0,6,37,0,265,25,150,105,2133,4874,5488,6205,1878,32203,6957,11876,30829,12898,28708,10994,2489,1263
04,2,0,14567,156,345,527,631,1107,1188,1344,11846,3815,26326,61643,60911,76190,35205,283015,45778,108568,287940,127239,272171,97832,18110,13708
05,2,0,4498,230,38,0,191,1048,456,982,2966,2669,9289,24194,27203,29249,8864,143106,24763,40940,121548,57918,102921,39920,5577,3640
