FIPS,STATE,COUNTY,NCHSPHH,NCHHH,PCTCHSPHH,PCT95CILB,PCT95CIUB,PCTQRT
01000,Alabama,,339392,1090304,31,31,32,
01001,Alabama,Autauga,3628,13143,28,22,33,2
01003,Alabama,Baldwin,8613,46902,18,15,22,1
01005,Alabama,Barbour,2822,5222,54,48,60,4
01007,Alabama,Bibb,1666,4539,37,25,49,3
01009,Alabama,Blount,3012,13352,23,17,28,1
01011,Alabama,Bullock,1333,2265,59,49,69,4
01013,Alabama,Butler,1809,4401,41,34,48,3
01015,Alabama,Calhoun,7621,24599,31,27,35,2
01017,Alabama,Chambers,2205,6937,32,24,40,2
01019,Alabama,Cherokee,1021,4994,20,13,28,1
01021,Alabama,Chilton,2723,10553,26,19,32,1
01023,Alabama,Choctaw,1119,2548,44,34,54,4
01025,Alabama,Clarke,1862,5150,36,27,45,3
01027,Alabama,Clay,689,2735,25,15,35,1
01029,Alabama,Cleburne,590,3370,18,9,26,1
01031,Alabama,Coffee,3705,12314,30,25,35,2
01033,Alabama,Colbert,3692,11481,32,26,38,3
01035,Alabama,Conecuh,1297,2547,51,33,69,4
01037,Alabama,Coosa,584,1763,33,16,50,3
01039,Alabama,Covington,2181,8056,27,22,32,2
01041,Alabama,Crenshaw,1074,3084,35,27,43,3
01043,Alabama,Cullman,3507,18661,19,15,23,1
01045,Alabama,Dale,3406,11309,30,25,35,2
01047,Alabama,Dallas,5867,9168,64,56,71,4
01049,Alabama,DeKalb,3557,17362,20,16,25,1
01051,Alabama,Elmore,4178,18163,23,18,28,1
01053,Alabama,Escambia,3476,8239,42,34,50,3
01055,Alabama,Etowah,7507,21994,34,30,38,3
01057,Alabama,Fayette,1006,3471,29,20,37,2
01059,Alabama,Franklin,2572,7880,33,23,42,3
01061,Alabama,Geneva,1573,5795,27,19,35,2
01063,Alabama,Greene,1236,1766,70,44,96,4
01065,Alabama,Hale,1747,3414,51,40,62,4
01067,Alabama,Henry,837,3541,24,16,32,1
01069,Alabama,Houston,7942,24224,33,30,36,3
01071,Alabama,Jackson,2735,10854,25,20,31,1
01073,Alabama,Jefferson,54536,150062,36,35,38,3
01075,Alabama,Lamar,845,3041,28,21,35,2
01077,Alabama,Lauderdale,4722,18263,26,22,30,2
01079,Alabama,Lawrence,1693,7136,24,18,29,1
01081,Alabama,Lee,9271,34482,27,23,30,2
01083,Alabama,Limestone,4000,21761,18,15,21,1
01085,Alabama,Lowndes,1154,2217,52,40,64,4
01087,Alabama,Macon,1655,3130,53,43,63,4
01089,Alabama,Madison,21482,80179,27,25,29,2
01091,Alabama,Marengo,2221,4447,50,38,62,4
01093,Alabama,Marion,1361,6208,22,15,29,1
01095,Alabama,Marshall,6434,24014,27,23,31,2
01097,Alabama,Mobile,34793,96962,36,33,38,3
01099,Alabama,Monroe,2019,4561,44,32,56,4
01101,Alabama,Montgomery,23278,52904,44,40,48,4
01103,Alabama,Morgan,6583,27344,24,20,28,1
01105,Alabama,Perry,1287,1929,67,49,84,4
01107,Alabama,Pickens,1750,3938,44,37,51,4
01109,Alabama,Pike,2624,6233,42,36,49,3
01111,Alabama,Randolph,1337,4808,28,21,35,2
01113,Alabama,Russell,6012,13981,43,35,51,4
01115,Alabama,St. Clair,3685,20118,18,14,22,1
01117,Alabama,Shelby,8307,50654,16,14,19,1
