STATEFP,HUPAC,ESP0,ESP1,ESP2,ESP3,ESP4,ESP5,ESP6,ESP7,ESP8
01,4,2485664,0,0,0,0,0,0,0,0
02,4,326862,0,0,0,0,0,0,0,0
04,4,3485489,0,0,0,0,0,0,0,0
05,4,1446481,0,0,0,0,0,0,0,0
06,4,18205136,0,0,0,0,0,0,0,0
08,4,2845137,0,0,0,0,0,0,0,0
09,4,1847854,0,0,0,0,0,0,0,0
10,4,508979,0,0,0,0,0,0,0,0
11,4,407971,0,0,0,0,0,0,0,0
12,4,11540145,0,0,0,0,0,0,0,0
13,4,4918343,0,0,0,0,0,0,0,0
15,4,669145,0,0,0,0,0,0,0,0
16,4,821088,0,0,0,0,0,0,0,0
17,4,6302970,0,0,0,0,0,0,0,0
18,4,3251178,0,0,0,0,0,0,0,0
19,4,1563849,0,0,0,0,0,0,0,0
20,4,1385973,0,0,0,0,0,0,0,0
21,4,2183921,0,0,0,0,0,0,0,0
22,4,2264070,0,0,0,0,0,0,0,0
23,4,763075,0,0,0,0,0,0,0,0
24,4,2943420,0,0,0,0,0,0,0,0
25,4,3594013,0,0,0,0,0,0,0,0
26,4,5207080,0,0,0,0,0,0,0,0
27,4,2769816,0,0,0,0,0,0,0,0
28,4,1402111,0,0,0,0,0,0,0,0
29,4,3066874,0,0,0,0,0,0,0,0
30,4,562372,0,0,0,0,0,0,0,0
31,4,901774,0,0,0,0,0,0,0,0
32,4,1503412,0,0,0,0,0,0,0,0
33,4,741019,0,0,0,0,0,0,0,0
34,4,4352211,0,0,0,0,0,0,0,0
35,4,1048670,0,0,0,0,0,0,0,0
36,4,9966784,0,0,0,0,0,0,0,0
37,4,5187035,0,0,0,0,0,0,0,0
38,4,372910,0,0,0,0,0,0,0,0
39,4,5947936,0,0,0,0,0,0,0,0
40,4,1850116,0,0,0,0,0,0,0,0
41,4,2192378,0,0,0,0,0,0,0,0
42,4,6705262,0,0,0,0,0,0,0,0
44,4,556801,0,0,0,0,0,0,0,0
45,4,2621182,0,0,0,0,0,0,0,0
46,4,415998,0,0,0,0,0,0,0,0
47,4,3402676,0,0,0,0,0,0,0,0
48,4,12308929,0,0,0,0,0,0,0,0
49,4,1220495,0,0,0,0,0,0,0,0
50,4,350800,0,0,0,0,0,0,0,0
51,4,4187144,0,0,0,0,0,0,0,0
53,4,3757651,0,0,0,0,0,0,0,0
54,4,968857,0,0,0,0,0,0,0,0
55,4,3025027,0,0,0,0,0,0,0,0
56,4,292101,0,0,0,0,0,0,0,0
01,0,117179,0,0,0,0,0,0,0,0
02,0,27095,0,0,0,0,0,0,0,0
04,0,157934,0,0,0,0,0,0,0,0
05,0,83757,0,0,0,0,0,0,0,0
06,0,824735,0,0,0,0,0,0,0,0
08,0,119595,0,0,0,0,0,0,0,0
09,0,112075,0,0,0,0,0,0,0,0
10,0,24952,0,0,0,0,0,0,0,0
11,0,38992,0,0,0,0,0,0,0,0
12,0,431523,0,0,0,0,0,0,0,0
13,0,262691,0,0,0,0,0,0,0,0
15,0,43130,0,0,0,0,0,0,0,0
16,0,30437,0,0,0,0,0,0,0,0
17,0,296806,0,0,0,0,0,0,0,0
18,0,189435,0,0,0,0,0,0,0,0
19,0,97553,0,0,0,0,0,0,0,0
20,0,79708,0,0,0,0,0,0,0,0
21,0,131825,0,0,0,0,0,0,0,0
22,0,129391,0,0,0,0,0,0,0,0
23,0,36347,0,0,0,0,0,0,0,0
24,0,140207,0,0,0,0,0,0,0,0
25,0,248305,0,0,0,0,0,0,0,0
26,0,225743,0,0,0,0,0,0,0,0
27,0,130618,0,0,0,0,0,0,0,0
28,0,94430,0,0,0,0,0,0,0,0
29,0,172576,0,0,0,0,0,0,0,0
30,0,28885,0,0,0,0,0,0,0,0
31,0,51208,0,0,0,0,0,0,0,0
32,0,37525,0,0,0,0,0,0,0,0
33,0,41423,0,0,0,0,0,0,0,0
34,0,182577,0,0,0,0,0,0,0,0
35,0,42919,0,0,0,0,0,0,0,0
36,0,569176,0,0,0,0,0,0,0,0
37,0,279287,0,0,0,0,0,0,0,0
38,0,25410,0,0,0,0,0,0,0,0
39,0,314246,0,0,0,0,0,0,0,0
40,0,109738,0,0,0,0,0,0,0,0
41,0,88758,0,0,0,0,0,0,0,0
42,0,419905,0,0,0,0,0,0,0,0
44,0,41441,0,0,0,0,0,0,0,0
45,0,135224,0,0,0,0,0,0,0,0
46,0,34019,0,0,0,0,0,0,0,0
47,0,158180,0,0,0,0,0,0,0,0
48,0,595587,0,0,0,0,0,0,0,0
49,0,47887,0,0,0,0,0,0,0,0
50,0,25476,0,0,0,0,0,0,0,0
51,0,244432,0,0,0,0,0,0,0,0
53,0,146985,0,0,0,0,0,0,0,0
54,0,47206,0,0,0,0,0,0,0,0
55,0,144508,0,0,0,0,0,0,0,0
56,0,14293,0,0,0,0,0,0,0,0
01,2,747457,213950,80410,17227,7808,33098,6053,121129,32313
02,2,104468,35564,11324,3001,908,7330,1240,12674,2450
04,2,1118966,302630,135892,21425,10928,65576,10190,166195,35175
05,2,464800,134790,45316,14193,5173,20904,4191,72880,19242
06,2,6727326,1788217,851056,128167,55222,317383,40350,830277,187526
08,2,877826,306392,105601,14834,7068,50224,4484,118264,16341
09,2,556461,191432,59762,11801,3406,25530,2193,87225,13772
10,2,146407,41580,12866,2465,1359,8824,662,26933,3086
11,2,69815,16022,4118,862,339,4089,655,17876,5305
12,2,3104342,844269,304260,68864,28546,161042,21341,519421,90907
13,2,1733055,501758,182160,35700,13924,74113,13260,303765,55073
15,2,227002,65644,16209,4691,2540,10482,2269,23994,4627
16,2,254110,97992,38181,5725,2447,14814,2175,32785,4896
17,2,1968941,665044,213542,35941,11384,94719,11545,310320,49287
18,2,1011202,340282,108013,20650,7905,57631,8204,158255,31618
19,2,444925,194256,34636,6993,2632,26194,2330,67969,7626
20,2,434150,169774,46208,6665,3710,24991,3091,61055,10017
21,2,699847,206082,58252,18468,10892,34964,7616,95029,23844
22,2,719869,193899,61283,13486,6835,35517,7615,143361,34207
23,2,182404,65270,12330,4372,1549,10863,1758,23305,5121
24,2,959484,312402,82418,15289,5184,47706,4016,153951,20780
25,2,1023175,363641,89481,18018,7318,41906,5406,155933,28664
26,2,1445038,479375,152850,30827,15719,79477,13887,219581,49971
27,2,810623,345991,65874,15365,5331,50892,3992,118704,14040
28,2,488892,127003,41196,10517,4385,20771,5437,92684,25699
29,2,903183,308571,78913,16140,9412,53832,9126,140907,24211
30,2,141910,54656,14978,2380,977,8672,1466,18769,4176
31,2,282084,117941,26082,4232,972,18135,1623,39668,5095
32,2,475620,122861,52859,8125,3834,31091,3614,77512,14833
33,2,200885,74378,16720,3956,1159,11430,936,24199,4516
34,2,1478203,485130,163987,26924,6725,62118,5006,198747,34858
35,2,318409,78882,36024,8903,4011,20334,5669,55220,13162
36,2,2929309,845289,282660,67383,23602,119207,20653,437668,106117
37,2,1606237,486953,171057,34418,13967,77506,11286,267765,49016
38,2,95021,46616,8277,1257,801,5839,561,11784,2499
39,2,1725350,572797,157613,36532,11592,99542,15742,280919,55284
40,2,609392,181633,68461,12508,6350,35693,5652,88828,22901
41,2,622405,196146,64875,15378,5562,36234,3465,80621,15121
42,2,1834856,617587,171216,35433,13380,97119,14750,275477,59899
44,2,158736,50476,11583,2358,885,7585,651,25934,5394
45,2,752943,224926,76295,14661,4248,33383,7506,138038,28161
46,2,117617,52485,8089,2451,479,8496,1049,17845,2172
47,2,1041671,307631,108301,23348,10024,52653,9432,163686,33952
48,2,4935463,1424221,678374,86317,38881,223932,26513,759937,141773
49,2,526849,209139,92386,7199,3669,21883,1477,55547,8506
50,2,79900,30854,5640,1984,374,5449,1297,10989,2431
51,2,1331049,439692,137957,22376,7660,58680,6068,185829,33319
53,2,1102618,361854,130776,22629,10137,60483,6874,140677,26952
54,2,275586,76330,26320,8676,5719,13726,2713,34151,10102
55,2,824226,333635,62842,14744,4878,53588,5344,122178,20596
56,2,83683,34099,9569,859,338,4786,277,11331,1288
01,3,255121,105439,80080,7992,3638,17458,4554,73172,28291
02,3,59112,25044,22302,3392,2090,4299,1433,9116,2468
04,3,471463,165983,161588,13482,7590,40284,7799,113883,44385
05,3,182597,79511,54445,7614,3323,10424,3401,51263,18717
06,3,2695152,988134,808261,66499,37404,220631,23972,537134,234236
08,3,309980,143533,109143,10332,3118,21219,2101,57880,17459
09,3,157222,77712,38785,4019,1544,13759,798,42002,10717
10,3,52655,22426,13849,767,517,4767,564,14336,5305
11,3,26350,11510,3864,231,233,816,99,13791,6273
12,3,1056971,418895,279443,30920,16721,82299,10275,303041,95472
13,3,654040,256227,199497,16726,5765,45685,5590,201722,59140
15,3,108900,39916,21433,3137,1127,7836,897,19054,7718
16,3,121769,59766,59988,2940,3315,8238,1322,18327,6253
17,3,703895,324317,211226,18609,7539,54780,5111,204752,49316
18,3,388622,182880,127706,11693,5593,29383,4794,97304,30510
19,3,177578,114716,46448,3545,1572,16264,1412,39076,11033
20,3,174898,104102,62511,4594,1945,13713,885,39718,8271
21,3,256972,111084,73312,8804,6630,17528,3558,56793,21028
22,3,261724,107976,64939,7623,3673,18204,4444,99883,37126
23,3,54897,30544,14145,2414,793,4066,739,9623,4549
24,3,355823,173666,81489,6529,3745,26669,2992,80929,29256
25,3,295282,149196,67471,7112,2912,18599,2624,69291,26209
26,3,505897,231842,163282,16332,9103,40317,3939,137835,47681
27,3,317040,197782,81865,11962,4826,28836,3134,68863,12015
28,3,179397,69849,39331,6356,2053,10576,2541,62276,24398
29,3,338979,167585,102482,12696,5728,24749,4325,84257,22570
30,3,58873,31106,20036,2612,1023,3955,674,8748,3065
31,3,125457,78149,34778,3659,853,10574,1012,28767,6025
32,3,196299,74852,61222,5312,2137,21064,1993,46008,15945
33,3,55628,28550,15831,1177,931,3708,999,7297,3043
34,3,467510,232103,136461,16778,4415,32097,3272,104517,31342
35,3,124633,44676,39373,5405,2554,12628,1710,33146,17352
36,3,1051481,459355,314949,31879,16404,65683,7815,249367,103101
37,3,555814,233359,171024,16859,6656,43559,5915,144041,54243
38,3,43478,32148,11884,1067,668,3412,368,6157,2608
39,3,598356,274313,182282,20937,9791,52458,7263,170511,60575
40,3,252216,111938,90691,9020,3094,19719,3179,57546,23513
41,3,224647,100073,78956,8321,3459,16955,1657,40308,13032
42,3,629052,298805,185485,16938,10239,46393,7471,170057,53352
44,3,46679,21463,10357,1150,283,3528,1072,13332,3021
45,3,263248,107198,82382,5607,2699,15630,3032,89574,28843
46,3,57478,35893,12373,758,836,4751,948,13759,4451
47,3,368674,144453,115206,12051,5228,28621,3223,101050,33877
48,3,2033967,788793,744497,46331,23697,140602,16429,516123,211908
49,3,258747,129079,167522,5412,2843,14953,630,33363,11029
50,3,25820,14673,5268,569,231,1401,267,5530,1902
51,3,476545,226489,139989,10559,4740,30163,3685,111686,32897
53,3,459665,197083,172210,13710,6834,33888,5398,80488,28921
54,3,82370,30357,22566,3383,2748,6129,2139,17129,9127
55,3,295231,172463,81927,8934,6387,29009,2261,75657,16703
56,3,33514,20567,13441,1151,317,2139,321,5174,1264
01,1,275433,66623,35887,2737,1654,11634,1636,44775,14774
02,1,46862,11504,6278,1433,253,2547,462,4452,1027
04,1,396768,86172,53056,5532,2261,26296,2921,47610,16591
05,1,180164,41910,21064,2022,1343,9942,1105,23731,7570
06,1,2361007,602516,339759,31397,14859,119187,12321,217520,80639
08,1,328492,106666,53165,6134,1095,15601,822,24755,7665
09,1,188151,62718,22198,2563,909,8317,837,21361,5426
10,1,43837,13362,4708,508,105,2635,135,7342,1748
11,1,41134,16094,3269,368,37,1689,710,7850,1612
12,1,1106695,266126,143764,13868,7654,70690,6128,152331,40971
13,1,599620,145847,81033,7517,2744,30343,2056,85975,23210
15,1,90717,21871,11757,1292,486,3700,378,7674,2448
16,1,102445,26992,21610,1087,599,4324,303,8271,2168
17,1,710250,218050,92411,8043,3386,34095,4214,86489,19182
