FIPS,STATE,COUNTY,MHP_NUMBER,MHP_RATE,MHP_RATIO,MHP_QRT
01001,Alabama,Autauga,21,37,2674:1,3
01003,Alabama,Baldwin,228,99,1006:1,2
01005,Alabama,Barbour,6,24,4098:1,3
01007,Alabama,Bibb,6,27,3689:1,3
01009,Alabama,Blount,10,17,5788:1,4
01011,Alabama,Bullock,2,20,4988:1,4
01013,Alabama,Butler,13,67,1500:1,2
01015,Alabama,Calhoun,161,142,705:1,1
01017,Alabama,Chambers,1,3,32865:1,4
01019,Alabama,Cherokee,6,23,4382:1,4
01021,Alabama,Chilton,27,61,1644:1,2
01023,Alabama,Choctaw,1,8,12418:1,4
01025,Alabama,Clarke,21,90,1109:1,2
01027,Alabama,Clay,2,15,6556:1,4
01029,Alabama,Cleburne,8,53,1871:1,2
01031,Alabama,Coffee,46,86,1157:1,2
01033,Alabama,Colbert,24,43,2309:1,3
01035,Alabama,Conecuh,7,59,1693:1,2
01037,Alabama,Coosa,2,19,5325:1,4
01039,Alabama,Covington,28,76,1319:1,2
01041,Alabama,Crenshaw,9,66,1520:1,2
01043,Alabama,Cullman,128,151,660:1,1
01045,Alabama,Dale,52,106,942:1,2
01047,Alabama,Dallas,23,64,1569:1,2
01049,Alabama,DeKalb,21,29,3412:1,3
01051,Alabama,Elmore,21,26,3912:1,3
01053,Alabama,Escambia,30,83,1209:1,2
01055,Alabama,Etowah,135,132,758:1,1
01057,Alabama,Fayette,2,12,8121:1,4
01059,Alabama,Franklin,1,3,31507:1,4
01061,Alabama,Geneva,6,23,4402:1,4
01063,Alabama,Greene,1,13,7990:1,4
01065,Alabama,Hale,4,27,3668:1,3
01067,Alabama,Henry,4,23,4306:1,4
01069,Alabama,Houston,170,160,627:1,1
01071,Alabama,Jackson,29,56,1779:1,2
01073,Alabama,Jefferson,1379,210,475:1,1
01075,Alabama,Lamar,2,15,6882:1,4
01077,Alabama,Lauderdale,153,164,610:1,1
01079,Alabama,Lawrence,43,131,764:1,1
01081,Alabama,Lee,178,107,937:1,1
01083,Alabama,Limestone,51,50,2004:1,3
01085,Alabama,Lowndes,,,,2
01087,Alabama,Macon,75,419,239:1,1
01089,Alabama,Madison,613,162,619:1,1
01091,Alabama,Marengo,6,32,3122:1,3
01093,Alabama,Marion,5,17,5941:1,4
01095,Alabama,Marshall,261,269,372:1,1
01097,Alabama,Mobile,441,107,936:1,1
01099,Alabama,Monroe,22,108,930:1,1
01101,Alabama,Montgomery,394,175,570:1,1
01103,Alabama,Morgan,193,161,621:1,1
01105,Alabama,Perry,5,58,1737:1,2
01107,Alabama,Pickens,7,35,2828:1,3
01109,Alabama,Pike,22,67,1498:1,2
01111,Alabama,Randolph,6,26,3820:1,3
01113,Alabama,Russell,28,48,2080:1,3
01117,Alabama,Shelby,209,94,1059:1,2
01115,Alabama,St. Clair,23,25,3945:1,3
01119,Alabama,Sumter,3,25,4075:1,3
01121,Alabama,Talladega,19,24,4210:1,4
01123,Alabama,Tallapoosa,13,32,3087:1,3
01125,Alabama,Tuscaloosa,330,157,639:1,1
01127,Alabama,Walker,68,108,929:1,1
01129,Alabama,Washington,5,31,3195:1,3
01131,Alabama,Wilcox,1,10,10206:1,4
01133,Alabama,Winston,4,17,5877:1,4
01000,Alabama,,5818,118,846:1,
02013,Alaska,Aleutians East,3,88,1134:1,
02016,Alaska,Aleutians West,8,141,710:1,4
02020,Alaska,Anchorage,1752,610,164:1,2
02050,Alaska,Bethel,484,2625,38:1,1
02060,Alaska,Bristol Bay,0,0,788:0,
02063,Alaska,Chugach,22,235,425:1,3
02066,Alaska,Copper River,22,235,425:1,3
02068,Alaska,Denali,,,,
02070,Alaska,Dillingham,42,869,115:1,2
02090,Alaska,Fairbanks North Star,675,706,142:1,2
02100,Alaska,Haines,6,230,436:1,3
02105,Alaska,Hoonah-Angoon,6,280,357:1,3
02110,Alaska,Juneau,283,889,113:1,2
02122,Alaska,Kenai Peninsula,191,321,311:1,3
