FIPS,STATE,COUNTY,PCT80,PCT20,INC_RATIO,INC_QRT
01000,Alabama,,106150,20580,5.2,
01001,Alabama,Autauga,109878,21396,5.1,3
01003,Alabama,Baldwin,120479,27466,4.4,1
01005,Alabama,Barbour,79175,13207,6.0,4
01007,Alabama,Bibb,87594,16239,5.4,3
01009,Alabama,Blount,100031,20993,4.8,2
01011,Alabama,Bullock,88821,10956,8.1,4
01013,Alabama,Butler,98464,17261,5.7,4
01015,Alabama,Calhoun,97379,20477,4.8,2
01017,Alabama,Chambers,86774,19452,4.5,1
01019,Alabama,Cherokee,87087,19459,4.5,1
01021,Alabama,Chilton,93180,21151,4.4,1
01023,Alabama,Choctaw,88929,16524,5.4,3
01025,Alabama,Clarke,91216,13193,6.9,4
01027,Alabama,Clay,91273,17227,5.3,3
01029,Alabama,Cleburne,89653,18554,4.8,2
01031,Alabama,Coffee,109562,22110,5.0,2
01033,Alabama,Colbert,89389,19127,4.7,1
01035,Alabama,Conecuh,76083,17792,4.3,1
01037,Alabama,Coosa,86981,21991,4.0,1
01039,Alabama,Covington,88070,16801,5.2,3
01041,Alabama,Crenshaw,90947,15908,5.7,4
01043,Alabama,Cullman,92153,21445,4.3,1
01045,Alabama,Dale,91209,18118,5.0,2
01047,Alabama,Dallas,73129,12548,5.8,4
01049,Alabama,DeKalb,84462,18524,4.6,1
01051,Alabama,Elmore,115691,27173,4.3,1
01053,Alabama,Escambia,72416,13172,5.5,3
01055,Alabama,Etowah,91735,19427,4.7,2
01057,Alabama,Fayette,86378,15982,5.4,3
01059,Alabama,Franklin,83670,19309,4.3,1
01061,Alabama,Geneva,85950,17139,5.0,2
01063,Alabama,Greene,54838,10470,5.2,3
01065,Alabama,Hale,80542,12139,6.6,4
01067,Alabama,Henry,98545,17337,5.7,4
01069,Alabama,Houston,102000,19918,5.1,2
01071,Alabama,Jackson,86549,17867,4.8,2
01073,Alabama,Jefferson,115667,21791,5.3,3
01075,Alabama,Lamar,90845,15379,5.9,4
01077,Alabama,Lauderdale,95086,20849,4.6,1
01079,Alabama,Lawrence,96064,20514,4.7,2
01081,Alabama,Lee,111631,17804,6.3,4
01083,Alabama,Limestone,119634,25912,4.6,1
01085,Alabama,Lowndes,74323,13583,5.5,3
01087,Alabama,Macon,77276,14410,5.4,3
01089,Alabama,Madison,137838,26894,5.1,2
01091,Alabama,Marengo,84178,12909,6.5,4
01093,Alabama,Marion,78668,15768,5.0,2
01095,Alabama,Marshall,98484,21734,4.5,1
01097,Alabama,Mobile,100284,19164,5.2,3
01099,Alabama,Monroe,80160,11260,7.1,4
01101,Alabama,Montgomery,104379,19709,5.3,3
01103,Alabama,Morgan,104107,22974,4.5,1
01105,Alabama,Perry,50784,10863,4.7,2
01107,Alabama,Pickens,89435,15576,5.7,4
01109,Alabama,Pike,95385,15201,6.3,4
01111,Alabama,Randolph,91567,16748,5.5,3
01113,Alabama,Russell,83844,15994,5.2,3
01115,Alabama,St. Clair,108714,27013,4.0,1
