REGION,STATE,COUNTY,NRPAWWH,PCTRPAWWH
1,Connecticut,Fairfield County,128657,73.4
1,Connecticut,Hartford County,118240,69.6
1,Connecticut,Litchfield County,25949,91.3
1,Connecticut,Middlesex County,23625,84
1,Connecticut,New Haven County,120628,72
1,Connecticut,New London County,38019,80.2
1,Connecticut,Tolland County,27351,85
1,Connecticut,Windham County,19512,89.6
1,Maine,Androscoggin County,17857,90.3
1,Maine,Aroostook County,9399,92.5
1,Maine,Cumberland County,50629,89.7
1,Maine,Franklin County,4977,95.7
1,Maine,Hancock County,8014,93.5
1,Maine,Kennebec County,20151,94.5
1,Maine,Knox County,5611,95.7
1,Maine,Lincoln County,4688,95.2
1,Maine,Oxford County,8767,96
1,Maine,Penobscot County,26438,93.2
1,Maine,Piscataquis County,2235,93.6
1,Maine,Sagadahoc County,5642,95
1,Maine,Somerset County,7934,95.6
1,Maine,Waldo County,6093,95.9
1,Maine,Washington County,4239,89.6
1,Maine,York County,33455,93.9
1,Massachusetts,Barnstable County,24961,88.1
1,Massachusetts,Berkshire County,18597,88.1
1,Massachusetts,Bristol County,92284,85.8
1,Massachusetts,Dukes County,2273,87.9
1,Massachusetts,Essex County,121742,81.6
1,Massachusetts,Franklin County,10635,91.4
1,Massachusetts,Hampden County,72796,79.3
1,Massachusetts,Hampshire County,33400,82.3
1,Massachusetts,Middlesex County,246636,73.4
1,Massachusetts,Nantucket County,1733,84.1
1,Massachusetts,Norfolk County,99168,72.2
1,Massachusetts,Plymouth County,73850,80.2
1,Massachusetts,Suffolk County,137565,63.5
1,Massachusetts,Worcester County,130795,82.3
1,New Hampshire,Belknap County,9251,95.3
1,New Hampshire,Carroll County,6318,95.8
1,New Hampshire,Cheshire County,13220,94.6
1,New Hampshire,Coos County,4166,94.9
1,New Hampshire,Grafton County,15077,87.6
1,New Hampshire,Hillsborough County,68890,87.7
1,New Hampshire,Merrimack County,25143,91.7
1,New Hampshire,Rockingham County,49367,93.3
1,New Hampshire,Strafford County,26247,91.8
1,New Hampshire,Sullivan County,6646,94.4
1,Rhode Island,Bristol County,8088,92.1
1,Rhode Island,Kent County,26325,89.9
1,Rhode Island,Newport County,12316,87.9
1,Rhode Island,Providence County,97896,73.9
1,Rhode Island,Washington County,21376,91.6
1,Vermont,Addison County,6250,91.2
1,Vermont,Bennington County,5543,93.3
1,Vermont,Caledonia County,4760,95.3
1,Vermont,Chittenden County,32660,88.3
1,Vermont,Essex County,786,95.2
1,Vermont,Franklin County,8504,94.1
1,Vermont,Grand Isle County,1039,93
1,Vermont,Lamoille County,4475,95.3
1,Vermont,Orange County,4441,96.3
1,Vermont,Orleans County,4133,95.6
1,Vermont,Rutland County,9069,95.5
1,Vermont,Washington County,9681,94.5
1,Vermont,Windham County,6356,92.6
1,Vermont,Windsor County,8363,94.6
2,New Jersey,Atlantic County,31799,67.4
2,New Jersey,Bergen County,118385,69.2
2,New Jersey,Burlington County,55383,69.2
2,New Jersey,Camden County,64184,64.9
2,New Jersey,Cape May County,11991,90
2,New Jersey,Cumberland County,18445,69.9
2,New Jersey,Essex County,72897,44.6
2,New Jersey,Gloucester County,44530,80.8
2,New Jersey,Hudson County,95485,61.6
2,New Jersey,Hunterdon County,17786,88.2
2,New Jersey,Mercer County,43039,58.9
2,New Jersey,Middlesex County,89928,55.4
2,New Jersey,Monmouth County,88146,82.3
2,New Jersey,Morris County,69852,79.9
2,New Jersey,Ocean County,87255,90.8
2,New Jersey,Passaic County,72033,72.7
2,New Jersey,Salem County,8391,77.8
2,New Jersey,Somerset County,37747,63
2,New Jersey,Sussex County,21790,92.3
2,New Jersey,Union County,68731,64
2,New Jersey,Warren County,15661,86.5
2,New York,Albany County,46277,70.4
2,New York,Allegany County,7945,93.6
2,New York,Bronx County,132285,43
2,New York,Broome County,29405,80.1
2,New York,Cattaraugus County,11787,90.2
2,New York,Cayuga County,11684,92.5
2,New York,Chautauqua County,20264,92
2,New York,Chemung County,12812,88.3
2,New York,Chenango County,7376,96.2
