REGION,STATE,COUNTY,NRPAWHSP,PCTRPAWHSP
1,Connecticut,Fairfield County,42945,24.5
1,Connecticut,Hartford County,39972,23.5
1,Connecticut,Litchfield County,2808,9.9
1,Connecticut,Middlesex County,2552,9.1
1,Connecticut,New Haven County,39255,23.4
1,Connecticut,New London County,7047,14.9
1,Connecticut,Tolland County,2360,7.3
1,Connecticut,Windham County,3422,15.7
1,Maine,Androscoggin County,508,2.6
1,Maine,Aroostook County,194,1.9
1,Maine,Cumberland County,1636,2.9
1,Maine,Franklin County,101,1.9
1,Maine,Hancock County,191,2.2
1,Maine,Kennebec County,468,2.2
1,Maine,Knox County,136,2.3
1,Maine,Lincoln County,108,2.2
1,Maine,Oxford County,191,2.1
1,Maine,Penobscot County,582,2
1,Maine,Piscataquis County,53,2.2
1,Maine,Sagadahoc County,123,2.1
1,Maine,Somerset County,115,1.4
1,Maine,Waldo County,109,1.7
1,Maine,Washington County,169,3.6
1,Maine,York County,895,2.5
1,Massachusetts,Barnstable County,1370,4.8
1,Massachusetts,Berkshire County,1560,7.4
1,Massachusetts,Bristol County,11458,10.7
1,Massachusetts,Dukes County,106,4.1
1,Massachusetts,Essex County,41170,27.6
1,Massachusetts,Franklin County,626,5.4
1,Massachusetts,Hampden County,30294,33
1,Massachusetts,Hampshire County,3006,7.4
1,Massachusetts,Middlesex County,32216,9.6
1,Massachusetts,Nantucket County,358,17.4
1,Massachusetts,Norfolk County,8667,6.3
1,Massachusetts,Plymouth County,4864,5.3
1,Massachusetts,Suffolk County,46225,21.3
1,Massachusetts,Worcester County,23946,15.1
1,New Hampshire,Belknap County,233,2.4
1,New Hampshire,Carroll County,184,2.8
1,New Hampshire,Cheshire County,390,2.8
1,New Hampshire,Coos County,127,2.9
1,New Hampshire,Grafton County,650,3.8
1,New Hampshire,Hillsborough County,7129,9.1
1,New Hampshire,Merrimack County,807,2.9
1,New Hampshire,Rockingham County,2272,4.3
1,New Hampshire,Strafford County,902,3.1
1,New Hampshire,Sullivan County,159,2.3
1,Rhode Island,Bristol County,371,4.2
1,Rhode Island,Kent County,2213,7.6
1,Rhode Island,Newport County,1193,8.5
1,Rhode Island,Providence County,35181,26.6
1,Rhode Island,Washington County,1187,5.1
1,Vermont,Addison County,262,3.8
1,Vermont,Bennington County,218,3.7
1,Vermont,Caledonia County,118,2.4
1,Vermont,Chittenden County,1267,3.4
1,Vermont,Essex County,25,3
1,Vermont,Franklin County,231,2.6
1,Vermont,Grand Isle County,35,3.1
1,Vermont,Lamoille County,108,2.3
1,Vermont,Orange County,105,2.3
1,Vermont,Orleans County,100,2.3
1,Vermont,Rutland County,214,2.3
1,Vermont,Washington County,278,2.7
1,Vermont,Windham County,245,3.6
1,Vermont,Windsor County,271,3.1
2,New Jersey,Atlantic County,10953,23.2
2,New Jersey,Bergen County,43854,25.6
2,New Jersey,Burlington County,8338,10.4
2,New Jersey,Camden County,20694,20.9
2,New Jersey,Cape May County,1614,12.1
2,New Jersey,Cumberland County,9829,37.3
2,New Jersey,Essex County,41471,25.4
2,New Jersey,Gloucester County,4630,8.4
2,New Jersey,Hudson County,60535,39.1
2,New Jersey,Hunterdon County,1851,9.2
2,New Jersey,Mercer County,14682,20.1
2,New Jersey,Middlesex County,40321,24.8
2,New Jersey,Monmouth County,14223,13.3
2,New Jersey,Morris County,14614,16.7
2,New Jersey,Ocean County,11759,12.2
2,New Jersey,Passaic County,46310,46.7
2,New Jersey,Salem County,1288,11.9
2,New Jersey,Somerset County,10831,18.1
2,New Jersey,Sussex County,2887,12.2
2,New Jersey,Union County,39204,36.5
2,New Jersey,Warren County,2364,13.1
2,New York,Albany County,5171,7.9
2,New York,Allegany County,192,2.3
2,New York,Bronx County,181648,59
2,New York,Broome County,2212,6
2,New York,Cattaraugus County,382,2.9
2,New York,Cayuga County,395,3.1
2,New York,Chautauqua County,2209,10
2,New York,Chemung County,521,3.6
2,New York,Chenango County,191,2.5
2,New York,Clinton County,481,3.2
2,New York,Columbia County,575,6.2
2,New York,Cortland County,388,3.7
2,New York,Delaware County,403,5.9
2,New York,Dutchess County,8397,15.4
2,New York,Erie County,13246,7.5
2,New York,Essex County,145,2.7
2,New York,Franklin County,180,2.3
2,New York,Fulton County,408,4.6
2,New York,Genesee County,377,3.9
2,New York,Greene County,528,7.5
2,New York,Hamilton County,16,2.9
2,New York,Herkimer County,270,2.6
2,New York,Jefferson County,2007,9.6
2,New York,Kings County,107771,18.8
2,New York,Lewis County,69,1.6
2,New York,Livingston County,521,4.3
2,New York,Madison County,481,3.6
2,New York,Monroe County,16858,11.5
2,New York,Montgomery County,1669,19.2
2,New York,Nassau County,49297,20.2
2,New York,New York County,92538,23
2,New York,Niagara County,1562,4.2
2,New York,Oneida County,3113,7.8
2,New York,Onondaga County,5907,6.5
2,New York,Ontario County,1231,6.4
2,New York,Orange County,18219,25.6
2,New York,Orleans County,522,7.3
2,New York,Oswego County,787,3.6
2,New York,Otsego County,677,5.6
2,New York,Putnam County,3399,20.4
2,New York,Queens County,131394,29.1
2,New York,Rensselaer County,2202,7.2
2,New York,Richmond County,19823,21.9
2,New York,Rockland County,12686,21.7
2,New York,St. Lawrence County,540,2.7
2,New York,Saratoga County,1809,4.4
2,New York,Schenectady County,2677,9
2,New York,Schoharie County,239,4.5
2,New York,Schuyler County,92,3.2
2,New York,Seneca County,182,3.3
2,New York,Steuben County,370,2.3
2,New York,Suffolk County,63007,23.7
2,New York,Sullivan County,2515,20.1
2,New York,Tioga County,235,3
2,New York,Tompkins County,1886,7.1
2,New York,Ulster County,4134,13.1
2,New York,Warren County,376,3.6
2,New York,Washington County,249,2.6
2,New York,Wayne County,842,5.6
2,New York,Westchester County,54027,30
2,New York,Wyoming County,168,2.7
2,New York,Yates County,118,2.6
3,Delaware,Kent County,3122,8.7
3,Delaware,New Castle County,13559,12.1
3,Delaware,Sussex County,4174,12.6
3,District of Columbia,District of Columbia,19872,10.4
3,Maryland,Allegany County,235,1.9
3,Maryland,Anne Arundel County,10991,9.8
3,Maryland,Baltimore County,10419,6.4
3,Maryland,Calvert County,981,5.9
3,Maryland,Caroline County,510,8.4
3,Maryland,Carroll County,1445,4.9
3,Maryland,Cecil County,1021,5.4
3,Maryland,Charles County,2367,7.3
3,Maryland,Dorchester County,493,9
3,Maryland,Frederick County,6393,12.8
3,Maryland,Garrett County,67,1.5
3,Maryland,Harford County,2729,5.8
3,Maryland,Howard County,5500,8.6
3,Maryland,Kent County,173,5.3
3,Maryland,Montgomery County,45012,22.3
3,Maryland,Prince George's County,37477,20.1
3,Maryland,Queen Anne's County,468,5.7
3,Maryland,St. Mary's County,1498,6.7
3,Maryland,Somerset County,250,5.3
3,Maryland,Talbot County,541,10.2
3,Maryland,Washington County,1880,7.2
3,Maryland,Wicomico County,1264,5.5
3,Maryland,Worcester County,425,5.5
3,Maryland,Baltimore City,7604,5.5
3,Pennsylvania,Adams County,1601,9.1
3,Pennsylvania,Allegheny County,6861,2.9
3,Pennsylvania,Armstrong County,104,1
3,Pennsylvania,Beaver County,714,2.6
3,Pennsylvania,Bedford County,113,1.5
3,Pennsylvania,Berks County,21671,27.8
3,Pennsylvania,Blair County,330,1.6
3,Pennsylvania,Bradford County,185,1.9
3,Pennsylvania,Bucks County,7867,7.3
3,Pennsylvania,Butler County,698,2.1
3,Pennsylvania,Cambria County,464,2.2
3,Pennsylvania,Cameron County,12,2.1
3,Pennsylvania,Carbon County,762,7.5
3,Pennsylvania,Centre County,1489,4
3,Pennsylvania,Chester County,8586,8.9
3,Pennsylvania,Clarion County,91,1.2
3,Pennsylvania,Clearfield County,171,1.4
3,Pennsylvania,Clinton County,143,1.9
3,Pennsylvania,Columbia County,516,3.9
3,Pennsylvania,Crawford County,322,2.2
3,Pennsylvania,Cumberland County,2697,5.7
3,Pennsylvania,Dauphin County,6410,12.1
3,Pennsylvania,Delaware County,5494,4.9
3,Pennsylvania,Elk County,46,1
3,Pennsylvania,Erie County,2803,5.6
3,Pennsylvania,Fayette County,334,1.6
3,Pennsylvania,Forest County,14,2.9
3,Pennsylvania,Franklin County,2180,8
3,Pennsylvania,Fulton County,40,1.7
3,Pennsylvania,Greene County,80,1.4
3,Pennsylvania,Huntingdon County,144,2
3,Pennsylvania,Indiana County,288,1.8
3,Pennsylvania,Jefferson County,89,1.3
3,Pennsylvania,Juniata County,207,5
3,Pennsylvania,Lackawanna County,4190,11
3,Pennsylvania,Lancaster County,14038,13.8
3,Pennsylvania,Lawrence County,278,2
3,Pennsylvania,Lebanon County,4574,18.3
3,Pennsylvania,Lehigh County,23207,32.6
3,Pennsylvania,Luzerne County,10181,18.4
3,Pennsylvania,Lycoming County,625,3
3,Pennsylvania,McKean County,115,1.7
3,Pennsylvania,Mercer County,292,1.6
3,Pennsylvania,Mifflin County,159,2.2
3,Pennsylvania,Monroe County,6326,20.5
3,Pennsylvania,Montgomery County,10068,6.6
3,Pennsylvania,Montour County,94,3.1
3,Pennsylvania,Northampton County,9998,17.9
3,Pennsylvania,Northumberland County,770,5.3
3,Pennsylvania,Perry County,225,2.9
3,Pennsylvania,Philadelphia County,57037,15.6
3,Pennsylvania,Pike County,1280,15.4
3,Pennsylvania,Potter County,53,2.1
3,Pennsylvania,Schuylkill County,1386,6.3
3,Pennsylvania,Snyder County,217,2.9
3,Pennsylvania,Somerset County,138,1.3
3,Pennsylvania,Sullivan County,14,1.8
3,Pennsylvania,Susquehanna County,145,2.5
3,Pennsylvania,Tioga County,117,1.7
3,Pennsylvania,Union County,304,3.9
3,Pennsylvania,Venango County,103,1.3
3,Pennsylvania,Warren County,87,1.5
3,Pennsylvania,Washington County,788,2.3
3,Pennsylvania,Wayne County,418,5.9
3,Pennsylvania,Westmoreland County,921,1.7
3,Pennsylvania,Wyoming County,109,2.5
3,Pennsylvania,York County,8638,10.7
3,Virginia,Accomack County,578,11.8
3,Virginia,Albemarle County,1554,6.9
3,Virginia,Alleghany County,44,1.9
3,Virginia,Amelia County,88,4.1
3,Virginia,Amherst County,201,3.8
3,Virginia,Appomattox County,53,1.9
3,Virginia,Arlington County,8757,14.5
3,Virginia,Augusta County,533,4.4
3,Virginia,Bath County,18,3.1
3,Virginia,Bedford County,452,3.6
3,Virginia,Bland County,10,1.2
3,Virginia,Botetourt County,127,2.5
3,Virginia,Brunswick County,72,3.1
3,Virginia,Buchanan County,47,1.5
3,Virginia,Buckingham County,82,3.4
3,Virginia,Campbell County,362,3.7
3,Virginia,Caroline County,395,7.1
3,Virginia,Carroll County,266,5.9
3,Virginia,Charles City County,26,2.6
3,Virginia,Charlotte County,40,2.2
3,Virginia,Chesterfield County,7795,11.2
3,Virginia,Clarke County,187,8.3
3,Virginia,Craig County,16,2.1
3,Virginia,Culpeper County,1292,13.7
3,Virginia,Cumberland County,64,3.8
3,Virginia,Dickenson County,34,1.5
3,Virginia,Dinwiddie County,262,5.1
3,Virginia,Essex County,86,4.7
3,Virginia,Fairfax County,40808,17.9
3,Virginia,Fauquier County,1410,11.3
3,Virginia,Floyd County,82,3.4
3,Virginia,Fluvanna County,229,4.2
3,Virginia,Franklin County,362,4.2
3,Virginia,Frederick County,1877,11.7
3,Virginia,Giles County,76,2.8
3,Virginia,Gloucester County,338,5.4
3,Virginia,Goochland County,169,4.6
3,Virginia,Grayson County,118,5.5
3,Virginia,Greene County,281,8.1
3,Virginia,Greensville County,47,3.5
3,Virginia,Halifax County,160,3
3,Virginia,Hanover County,754,4
3,Virginia,Henrico County,4533,6.8
3,Virginia,Henry County,639,8.1
3,Virginia,Highland County,3,1.2
3,Virginia,Isle of Wight County,328,5.2
3,Virginia,James City County,1031,8.5
3,Virginia,King and Queen County,41,4
3,Virginia,King George County,357,7
3,Virginia,King William County,103,3.3
3,Virginia,Lancaster County,37,2.9
3,Virginia,Lee County,47,1.4
3,Virginia,Loudoun County,13251,15.4
3,Virginia,Louisa County,246,4
3,Virginia,Lunenburg County,118,6.8
3,Virginia,Madison County,117,5.5
3,Virginia,Mathews County,48,4.2
3,Virginia,Mecklenburg County,148,3.3
3,Virginia,Middlesex County,63,4.9
3,Virginia,Montgomery County,1045,4.3
