FIPS,STATE,COUNTY,NUI,PCTUI,UI95CILB,UI95CIUB,UIQRT,NUIAD,PCTUIAD,UIAD95CILB,UIAD95CIUB
01000,Alabama,,457718,12,11,12,,425108,15,14,15
01001,Alabama,Autauga,4366,9,8,11,1,4050,12,10,14
01003,Alabama,Baldwin,19085,11,10,12,1,17611,14,12,15
01005,Alabama,Barbour,2194,13,11,15,3,2027,17,14,19
01007,Alabama,Bibb,1824,11,9,13,1,1693,14,12,16
01009,Alabama,Blount,6663,14,13,16,4,6076,18,16,20
01011,Alabama,Bullock,752,11,9,13,1,706,15,12,17
01013,Alabama,Butler,1755,12,10,13,2,1621,15,12,17
01015,Alabama,Calhoun,10767,12,10,13,2,10100,15,13,17
01017,Alabama,Chambers,3178,12,10,14,2,3001,15,13,18
01019,Alabama,Cherokee,2580,13,11,15,3,2409,16,14,18
01021,Alabama,Chilton,4995,14,12,16,4,4575,18,15,20
01023,Alabama,Choctaw,1158,12,11,14,3,1060,15,13,17
01025,Alabama,Clarke,2209,12,10,14,2,2052,15,13,17
01027,Alabama,Clay,1480,14,12,16,4,1371,18,15,20
01029,Alabama,Cleburne,1506,13,11,15,3,1357,16,14,18
01031,Alabama,Coffee,5604,13,11,15,3,5167,17,15,19
01033,Alabama,Colbert,4721,11,9,12,1,4388,13,12,15
01035,Alabama,Conecuh,1112,12,10,14,3,1033,15,13,18
01037,Alabama,Coosa,891,11,9,13,2,828,13,11,16
01039,Alabama,Covington,3608,13,11,14,3,3323,16,14,18
01041,Alabama,Crenshaw,1471,13,12,15,4,1338,17,14,19
01043,Alabama,Cullman,9008,13,12,15,4,8408,17,15,19
01045,Alabama,Dale,4777,12,10,14,2,4446,15,13,18
01047,Alabama,Dallas,3263,11,9,13,1,3055,14,12,17
01049,Alabama,DeKalb,10814,19,17,21,4,10032,24,22,27
01051,Alabama,Elmore,5781,9,8,10,1,5242,11,10,13
01053,Alabama,Escambia,3875,14,12,16,4,3601,19,16,21
01055,Alabama,Etowah,10281,13,11,14,3,9523,16,14,18
01057,Alabama,Fayette,1508,12,10,14,2,1390,15,13,17
01059,Alabama,Franklin,3952,15,14,17,4,3605,20,17,23
01061,Alabama,Geneva,3009,15,13,16,4,2818,19,16,21
01063,Alabama,Greene,708,12,10,14,2,655,15,12,17
01065,Alabama,Hale,1335,12,10,13,2,1235,15,13,17
01067,Alabama,Henry,1632,13,11,14,3,1498,16,13,18
01069,Alabama,Houston,11329,13,12,15,4,10648,17,15,19
01071,Alabama,Jackson,5584,14,12,16,4,5254,17,15,20
01073,Alabama,Jefferson,57398,11,10,12,1,53693,14,13,15
01075,Alabama,Lamar,1257,12,10,14,2,1150,15,13,17
01077,Alabama,Lauderdale,8571,12,10,13,2,7991,15,13,17
01079,Alabama,Lawrence,3906,15,13,17,4,3592,18,16,21
01081,Alabama,Lee,14928,11,9,12,1,13817,13,11,15
01083,Alabama,Limestone,9428,12,10,13,2,8691,15,13,16
01085,Alabama,Lowndes,826,11,9,12,1,763,14,11,16
01087,Alabama,Macon,1349,11,9,12,1,1281,13,11,15
01089,Alabama,Madison,28344,9,8,10,1,25999,11,10,13
01091,Alabama,Marengo,1651,11,10,13,1,1521,14,12,16
01093,Alabama,Marion,2816,12,11,14,3,2624,16,13,18
01095,Alabama,Marshall,12136,15,14,17,4,11351,21,18,23
01097,Alabama,Mobile,42767,13,11,14,3,40452,17,15,18
01099,Alabama,Monroe,2083,13,11,15,3,1947,16,14,19
01101,Alabama,Montgomery,21123,12,10,13,2,19612,15,13,17
01103,Alabama,Morgan,12379,13,11,14,3,11331,16,14,18
01105,Alabama,Perry,776,12,10,14,2,723,16,13,18
01107,Alabama,Pickens,1755,12,11,14,3,1611,15,13,18
01109,Alabama,Pike,3498,14,12,15,4,3271,17,14,19
01111,Alabama,Randolph,2165,12,10,14,3,2017,16,13,18
01113,Alabama,Russell,5473,11,10,13,2,5159,15,12,17
01115,Alabama,St. Clair,7465,10,9,12,1,6927,13,11,15
01117,Alabama,Shelby,15878,9,8,10,1,14505,11,10,12
01119,Alabama,Sumter,1218,13,11,15,4,1132,16,13,19
01121,Alabama,Talladega,6969,11,10,13,1,6542,14,12,16
01123,Alabama,Tallapoosa,3761,12,10,14,2,3491,15,13,17
01125,Alabama,Tuscaloosa,17245,10,9,11,1,15965,12,11,14
01127,Alabama,Walker,6674,13,12,15,4,6062,17,14,19
01129,Alabama,Washington,1781,14,12,16,4,1607,17,15,20
01131,Alabama,Wilcox,934,12,10,13,2,861,15,13,17
01133,Alabama,Winston,2389,13,11,15,3,2224,16,14,19
02000,Alaska,,79260,13,12,14,,66006,15,14,16
02013,Alaska,Aleutians East,691,23,20,27,,650,24,20,27
02016,Alaska,Aleutians West,884,18,15,20,3,807,19,16,21
