FIPS,STATE,COUNTY,PCTSHP,SHP95CILB,SHP95CIUB,SHCB,SHCB95CILB,SHCB95CIUB,PCTOCRWD,OCRWD95CILB,OCRWD95CIUB,PCTIAF,IAF95CILB,IAF95CIUB,IAFQRT
01000,Alabama,,14,13,14,12,12,12,2,2,2,1,1,1,
01001,Alabama,Autauga,15,12,17,13,10,15,1,1,2,2,1,3,3
01003,Alabama,Baldwin,12,11,14,11,10,12,1,1,2,1,0,1,3
01005,Alabama,Barbour,15,13,18,13,11,16,3,2,5,0,0,1,4
01007,Alabama,Bibb,11,7,15,9,6,13,1,0,2,1,0,2,2
01009,Alabama,Blount,10,9,12,8,6,9,2,1,2,1,1,2,1
01011,Alabama,Bullock,17,12,23,17,11,24,0,0,1,2,0,4,4
01013,Alabama,Butler,13,10,15,11,8,13,2,1,3,1,0,2,3
01015,Alabama,Calhoun,13,12,14,11,10,12,2,1,2,1,0,1,3
01017,Alabama,Chambers,15,13,18,11,9,13,3,2,4,2,1,2,4
01019,Alabama,Cherokee,11,9,13,9,7,12,1,0,2,1,0,1,2
01021,Alabama,Chilton,15,12,18,12,9,14,3,1,4,1,0,2,3
01023,Alabama,Choctaw,12,9,15,9,6,12,1,0,2,2,1,3,2
01025,Alabama,Clarke,13,10,15,11,9,14,2,1,3,1,0,2,3
01027,Alabama,Clay,10,6,13,7,5,10,1,0,2,2,0,3,1
01029,Alabama,Cleburne,11,8,14,9,7,12,1,0,2,1,0,3,2
01031,Alabama,Coffee,10,8,11,8,7,10,1,1,2,0,0,0,1
01033,Alabama,Colbert,12,10,14,11,9,13,0,0,1,1,0,1,3
01035,Alabama,Conecuh,10,6,13,8,4,11,1,0,2,1,0,3,1
01037,Alabama,Coosa,10,7,14,9,6,13,1,0,2,1,0,2,1
01039,Alabama,Covington,12,11,14,10,8,11,2,1,3,1,1,2,3
01041,Alabama,Crenshaw,9,7,11,8,5,10,1,0,2,0,0,1,1
01043,Alabama,Cullman,12,10,13,9,8,10,2,1,2,2,1,2,2
01045,Alabama,Dale,14,12,16,12,10,14,2,1,2,0,0,1,3
01047,Alabama,Dallas,18,16,21,15,13,18,3,2,4,1,1,2,4
01049,Alabama,DeKalb,12,10,14,9,7,11,3,2,4,1,0,1,2
01051,Alabama,Elmore,11,9,13,10,8,11,1,1,2,0,0,1,2
01053,Alabama,Escambia,11,9,13,9,7,12,2,1,3,1,0,1,2
01055,Alabama,Etowah,10,9,11,9,8,10,1,1,2,1,0,1,1
01057,Alabama,Fayette,11,9,14,9,7,12,1,0,2,1,0,2,2
01059,Alabama,Franklin,10,8,13,7,5,9,3,2,5,0,0,1,1
01061,Alabama,Geneva,12,10,15,11,8,13,2,1,3,0,0,1,3
01063,Alabama,Greene,18,11,24,15,9,22,3,1,5,1,0,3,4
01065,Alabama,Hale,15,12,18,12,9,15,3,2,5,0,0,1,3
01067,Alabama,Henry,9,7,12,8,6,11,1,0,1,0,0,1,1
01069,Alabama,Houston,13,12,14,12,11,12,1,1,2,0,0,1,3
01071,Alabama,Jackson,11,10,13,9,7,11,2,1,3,1,0,1,2
01073,Alabama,Jefferson,16,15,17,14,14,15,2,1,2,1,1,1,4
01075,Alabama,Lamar,9,7,12,7,4,9,2,0,3,1,0,2,1
01077,Alabama,Lauderdale,12,11,13,10,9,12,1,1,2,1,0,1,2
01079,Alabama,Lawrence,10,8,13,9,6,11,2,1,2,1,0,2,1
01081,Alabama,Lee,19,17,21,17,15,18,3,2,4,1,0,1,4
01083,Alabama,Limestone,11,9,12,9,7,10,2,1,2,1,0,1,2
01085,Alabama,Lowndes,17,13,21,15,11,19,2,0,3,1,0,3,4
01087,Alabama,Macon,18,15,21,16,13,19,1,1,2,1,0,2,4
01089,Alabama,Madison,12,11,13,10,10,11,1,1,2,1,0,1,2
01091,Alabama,Marengo,14,11,17,13,10,17,1,0,1,1,0,2,3
01093,Alabama,Marion,12,9,14,9,6,12,2,1,3,1,0,2,2
