FIPS,STATE,COUNTY,FEIDX,FEIDXQRT,NFIS,PCTFIS,NLIMA,PCTLIMA
01000,Alabama,,5.3,,788250,16,418731,9
01001,Alabama,Autauga,6.5,3,8670,16,7106,13
01003,Alabama,Baldwin,7.4,1,28590,13,14466,8
01005,Alabama,Barbour,5.7,4,5250,21,2865,10
01007,Alabama,Bibb,7.6,1,3680,16,102,0
01009,Alabama,Blount,7.8,1,8380,15,1440,3
01011,Alabama,Bullock,4.6,4,1610,16,3529,32
01013,Alabama,Butler,6.9,2,3280,17,1449,7
01015,Alabama,Calhoun,5.9,4,19660,17,18258,15
01017,Alabama,Chambers,7,2,5190,15,2772,8
01019,Alabama,Cherokee,7.2,1,4170,16,1302,5
01021,Alabama,Chilton,7,2,7590,17,1907,4
01023,Alabama,Choctaw,5.8,4,2440,19,1808,13
01025,Alabama,Clarke,5.4,4,4490,19,4740,18
01027,Alabama,Clay,7.3,1,2200,17,414,3
01029,Alabama,Cleburne,7.1,2,2710,18,303,2
01031,Alabama,Coffee,6.9,2,8130,16,4491,9
01033,Alabama,Colbert,6.7,3,9040,17,4806,9
01035,Alabama,Conecuh,6.4,4,1990,16,1758,13
01037,Alabama,Coosa,7.1,2,1620,15,890,8
01039,Alabama,Covington,6.8,2,6730,18,2070,5
01041,Alabama,Crenshaw,6.5,3,2150,16,1878,14
01043,Alabama,Cullman,7.4,1,13610,16,2287,3
01045,Alabama,Dale,6.5,3,8790,18,4420,9
01047,Alabama,Dallas,6.2,4,7430,19,3842,9
01049,Alabama,DeKalb,,3,12300,17,,
01051,Alabama,Elmore,7.6,1,11280,14,3953,5
01053,Alabama,Escambia,6.8,2,6570,18,2175,6
01055,Alabama,Etowah,6.2,4,17250,17,13991,13
01057,Alabama,Fayette,7.1,2,3090,19,74,0
01059,Alabama,Franklin,7.1,2,5130,16,1818,6
01061,Alabama,Geneva,6.6,3,5230,20,1035,4
01063,Alabama,Greene,4.2,4,1850,22,2058,23
01065,Alabama,Hale,6.8,2,2510,17,1099,7
01067,Alabama,Henry,7.2,1,2490,15,1392,8
01069,Alabama,Houston,7.2,1,17160,16,4308,4
01071,Alabama,Jackson,6.8,2,9390,18,2859,5
01073,Alabama,Jefferson,6.8,2,94780,14,82879,13
01075,Alabama,Lamar,7.1,2,2590,19,61,0
01077,Alabama,Lauderdale,7.2,1,14340,16,5999,6
01079,Alabama,Lawrence,6.8,2,5850,18,1839,5
01081,Alabama,Lee,6.8,2,23990,15,15524,11
01083,Alabama,Limestone,7.4,1,13540,14,5320,6
01085,Alabama,Lowndes,5.1,4,1940,19,2283,20
01087,Alabama,Macon,5.6,4,2890,15,4741,22
01089,Alabama,Madison,7.4,1,47180,13,31281,9
01091,Alabama,Marengo,6.1,4,3350,17,2785,13
01093,Alabama,Marion,7,2,5730,19,317,1
01095,Alabama,Marshall,6.5,3,16380,17,9331,10
01097,Alabama,Mobile,6.8,2,65300,16,40126,10
01099,Alabama,Monroe,5.8,4,4240,20,2614,11
01101,Alabama,Montgomery,6.8,2,34010,15,24643,11
01103,Alabama,Morgan,7.1,2,17850,15,9883,8
01105,Alabama,Perry,4.1,4,1870,20,2949,28
01107,Alabama,Pickens,7.2,1,3610,18,296,1
01109,Alabama,Pike,6.5,3,5640,17,3452,10
01111,Alabama,Randolph,6.5,3,3520,16,3021,13
01113,Alabama,Russell,6.9,2,9730,17,3529,7
01115,Alabama,St. Clair,7.8,1,12680,14,1984,2
01117,Alabama,Shelby,8.2,1,22700,11,11354,6
01119,Alabama,Sumter,5.9,4,2530,20,1479,11
01121,Alabama,Talladega,6.8,2,13530,17,6453,8
01123,Alabama,Tallapoosa,7.3,1,6650,16,1359,3
01125,Alabama,Tuscaloosa,7.4,1,29660,14,13105,7
01127,Alabama,Walker,6.8,2,11950,19,2492,4
01129,Alabama,Washington,6.8,2,3050,18,788,4
01131,Alabama,Wilcox,4.5,4,2140,20,2764,24
01133,Alabama,Winston,7,2,4460,19,415,2
02000,Alaska,,7,,86970,12,55887,8
02013,Alaska,Aleutians East,7.3,,370,11,458,15
02016,Alaska,Aleutians West,7.8,2,650,12,434,8
02020,Alaska,Anchorage,8.3,1,32090,11,13337,5
02050,Alaska,Bethel,2.5,4,4080,23,6780,40
02060,Alaska,Bristol Bay,7.2,,110,13,116,12
02063,Alaska,Chugach,7.6,2,1040,11,997,10
02066,Alaska,Copper River,7.6,2,1040,11,997,10
02068,Alaska,Denali,4.6,,340,15,604,33
02070,Alaska,Dillingham,4.5,4,810,16,1525,31
02090,Alaska,Fairbanks North Star,7.9,1,10990,11,7544,8
02100,Alaska,Haines,7.1,3,350,14,253,10
02105,Alaska,Hoonah-Angoon,4.8,4,320,15,669,31
02110,Alaska,Juneau,8.7,1,3310,10,613,2
02122,Alaska,Kenai Peninsula,7.4,3,7890,14,4359,8
02130,Alaska,Ketchikan Gateway,8.3,1,1790,13,54,0
02150,Alaska,Kodiak Island,7.5,2,1550,12,1560,11
02158,Alaska,Kusilvak,,3,2360,29,,
02164,Alaska,Lake and Peninsula,3.4,4,230,17,679,42
