FIPS,COUNTY,STATE,STABRV,PROVIDERS,PRESCRIBERS,TOTPOP,FEMPOP,RPRAFEM,FERTRATE,BIRTHS_EST,RATIO,REQPROV,COVERAGE,GAP
01001,Autauga County,Alabama,AL,0,0,58239,30033,11863,63.39,752,0.00,4,0.00,4
01003,Baldwin County,Alabama,AL,3,0,239294,116350,41284,60.58,2501,0.00,13,0.23,10
01005,Barbour County,Alabama,AL,0,0,25259,11898,3965,63.39,251,0.00,1,0.00,1
01007,Bibb County,Alabama,AL,0,0,22412,10112,3626,63.39,230,0.00,1,0.00,1
01009,Blount County,Alabama,AL,0,0,58884,29354,10201,63.39,647,0.00,3,0.00,3
01011,Bullock County,Alabama,AL,0,0,10386,4728,1527,63.39,97,0.00,0,0,0
01013,Butler County,Alabama,AL,0,0,19181,10207,3487,63.39,221,0.00,1,0.00,1
01015,Calhoun County,Alabama,AL,0,0,115972,60346,22389,59.31,1328,0.00,7,0.00,7
01017,Chambers County,Alabama,AL,1,0,34834,18109,6205,63.39,393,0.00,2,0.50,1
01019,Cherokee County,Alabama,AL,0,0,24975,12623,3855,63.39,244,0.00,1,0.00,1
01021,Chilton County,Alabama,AL,0,0,44857,22981,8350,63.39,529,0.00,3,0.00,3
01023,Choctaw County,Alabama,AL,0,0,12792,6694,2079,63.39,132,0.00,1,0.00,1
01025,Clarke County,Alabama,AL,0,0,23346,12204,4213,63.39,267,0.00,1,0.00,1
01027,Clay County,Alabama,AL,0,0,14184,7199,2316,63.39,147,0.00,1,0.00,1
01029,Cleburne County,Alabama,AL,0,0,15046,7678,2533,63.39,161,0.00,1,0.00,1
01031,Coffee County,Alabama,AL,0,0,53043,26686,9660,63.39,612,0.00,3,0.00,3
01033,Colbert County,Alabama,AL,0,0,56789,29187,10055,63.39,637,0.00,3,0.00,3
01035,Conecuh County,Alabama,AL,0,0,11778,6027,2001,63.39,127,0.00,1,0.00,1
01037,Coosa County,Alabama,AL,0,0,10442,5016,1506,63.39,95,0.00,0,0,0
01039,Covington County,Alabama,AL,0,0,37490,19226,6458,63.39,409,0.00,2,0.00,2
01041,Crenshaw County,Alabama,AL,0,0,13300,6842,2274,63.39,144,0.00,1,0.00,1
01043,Cullman County,Alabama,AL,0,0,87129,43992,15552,63.39,986,0.00,5,0.00,5
01045,Dale County,Alabama,AL,0,0,49443,24811,9257,63.39,587,0.00,3,0.00,3
01047,Dallas County,Alabama,AL,0,0,39162,21026,7503,63.39,476,0.00,2,0.00,2
01049,DeKalb County,Alabama,AL,0,0,71554,35928,12948,63.39,821,0.00,4,0.00,4
01051,Elmore County,Alabama,AL,0,0,87146,44695,17479,63.39,1108,0.00,6,0.00,6
01053,Escambia County,Alabama,AL,1,0,36879,18015,6288,63.39,399,0.00,2,0.50,1
01055,Etowah County,Alabama,AL,0,0,103162,53359,18806,60.51,1138,0.00,6,0.00,6
01057,Fayette County,Alabama,AL,0,0,16365,8224,2793,63.39,177,0.00,1,0.00,1
01059,Franklin County,Alabama,AL,0,0,32034,16142,5662,63.39,359,0.00,2,0.00,2
01061,Geneva County,Alabama,AL,1,0,26604,13521,4401,63.39,279,0.00,1,1.00,0
01063,Greene County,Alabama,AL,0,0,7851,4078,1261,63.39,80,0.00,0,0,0
01065,Hale County,Alabama,AL,0,0,14819,7749,2687,63.39,170,0.00,1,0.00,1
01067,Henry County,Alabama,AL,0,0,17165,8970,2849,63.39,181,0.00,1,0.00,1
01069,Houston County,Alabama,AL,1,0,107458,55112,20342,65.28,1328,0.00,7,0.14,6
01071,Jackson County,Alabama,AL,0,0,52548,26596,9055,63.39,574,0.00,3,0.00,3
01073,Jefferson County,Alabama,AL,3,4,667820,353128,138186,58.24,8048,0.00,40,0.08,37
01075,Lamar County,Alabama,AL,0,0,13929,7016,2281,63.39,145,0.00,1,0.00,1
01077,Lauderdale County,Alabama,AL,0,0,93342,48290,17829,63.39,1130,0.00,6,0.00,6
01079,Lawrence County,Alabama,AL,0,1,33089,17058,5746,63.39,364,0.00,2,0.00,2
01081,Lee County,Alabama,AL,1,0,177218,87136,41396,45.97,1903,0.00,10,0.10,9
01083,Limestone County,Alabama,AL,1,1,101217,50457,19316,63.39,1224,0.00,6,0.17,5
01085,Lowndes County,Alabama,AL,0,0,10334,5368,1847,63.39,117,0.00,1,0.00,1
01087,Macon County,Alabama,AL,0,0,19490,10523,4236,63.39,269,0.00,1,0.00,1
01089,Madison County,Alabama,AL,3,1,395211,194230,78302,55.25,4326,0.00,22,0.14,19
01091,Marengo County,Alabama,AL,0,0,19397,10069,3355,63.39,213,0.00,1,0.00,1
01093,Marion County,Alabama,AL,0,0,29392,14762,5007,63.39,317,0.00,2,0.00,2
01095,Marshall County,Alabama,AL,0,0,97179,48886,17313,63.39,1097,0.00,5,0.00,5
01097,Mobile County,Alabama,AL,2,0,413073,216220,82893,61.49,5097,0.00,25,0.08,23
01099,Monroe County,Alabama,AL,0,0,20115,10495,3643,63.39,231,0.00,1,0.00,1
01101,Montgomery County,Alabama,AL,1,1,227434,120690,47258,64.71,3058,0.00,15,0.07,14
01103,Morgan County,Alabama,AL,1,1,123668,61955,22130,63.35,1402,0.00,7,0.14,6
01105,Perry County,Alabama,AL,0,0,8702,4690,1849,63.39,117,0.00,1,0.00,1
01107,Pickens County,Alabama,AL,0,0,19240,10050,3791,63.39,240,0.00,1,0.00,1
01109,Pike County,Alabama,AL,0,0,33176,17257,7942,63.39,503,0.00,3,0.00,3
01111,Randolph County,Alabama,AL,0,0,21984,11227,3668,63.39,233,0.00,1,0.00,1
01113,Russell County,Alabama,AL,0,0,58695,30343,11774,63.39,746,0.00,4,0.00,4
01115,St. Clair County,Alabama,AL,1,0,90412,45188,16268,63.39,1031,0.00,5,0.20,4
01117,Shelby County,Alabama,AL,1,1,226902,113552,44440,51.69,2297,0.00,11,0.09,10
01119,Sumter County,Alabama,AL,0,0,12482,6733,2681,63.39,170,0.00,1,0.00,1
01121,Talladega County,Alabama,AL,0,0,81850,42253,15748,63.39,998,0.00,5,0.00,5
01123,Tallapoosa County,Alabama,AL,0,0,41284,21102,6738,63.39,427,0.00,2,0.00,2
01125,Tuscaloosa County,Alabama,AL,0,0,227007,115540,53233,45.93,2445,0.00,12,0.00,12
01127,Walker County,Alabama,AL,0,0,65194,32924,11420,63.39,724,0.00,4,0.00,4
01129,Washington County,Alabama,AL,0,0,15574,7557,2467,63.39,156,0.00,1,0.00,1
01131,Wilcox County,Alabama,AL,0,0,10686,5730,1939,63.39,123,0.00,1,0.00,1
01133,Winston County,Alabama,AL,0,0,23650,11825,3874,63.39,246,0.00,1,0.00,1
02013,Aleutians East Borough,Alaska,AK,0,0,3409,1395,578,69.27,40,0.00,0,0,0
02016,Aleutians West Census Area,Alaska,AK,0,0,5251,2256,1125,69.27,78,0.00,0,0,0
02020,Anchorage Municipality,Alaska,AK,12,4,288121,142897,60618,58.93,3572,0.00,18,0.67,6
02050,Bethel Census Area,Alaska,AK,1,1,18514,8790,3743,69.27,259,0.00,1,1.00,0
02060,Bristol Bay Borough,Alaska,AK,0,0,849,369,147,69.27,10,0.00,0,0,0
02063,Chugach Census Area,Alaska,AK,1,0,7015,3374,1346,69.27,93,0.00,0,0,-1
02066,Copper River Census Area,Alaska,AK,0,0,2635,1261,387,69.27,27,0.00,0,0,0
02068,Denali Borough,Alaska,AK,0,0,2187,1019,442,69.27,31,0.00,0,0,0
02070,Dillingham Census Area,Alaska,AK,0,0,4899,2366,967,69.27,67,0.00,0,0,0
02090,Fairbanks North Star Borough,Alaska,AK,2,0,97149,44482,19927,69.27,1380,0.00,7,0.29,5
02100,Haines Borough,Alaska,AK,0,0,2098,978,250,69.27,17,0.00,0,0,0
02105,Hoonah-Angoon Census Area,Alaska,AK,0,0,2327,1017,322,69.27,22,0.00,0,0,0
02110,Juneau City and Borough,Alaska,AK,0,0,32240,15828,6424,69.27,445,0.00,2,0.00,2
02122,Kenai Peninsula Borough,Alaska,AK,1,0,58711,28016,9702,69.27,672,0.00,3,0.33,2
02130,Ketchikan Gateway Borough,Alaska,AK,0,0,13939,6748,2556,69.27,177,0.00,1,0.00,1
02150,Kodiak Island Borough,Alaska,AK,0,0,13218,6251,2593,69.27,180,0.00,1,0.00,1
02158,Kusilvak Census Area,Alaska,AK,0,0,8354,3809,1535,69.27,106,0.00,1,0.00,1
02164,Lake and Peninsula Borough,Alaska,AK,0,0,986,536,240,69.27,17,0.00,0,0,0
02170,Matanuska-Susitna Borough,Alaska,AK,2,0,106807,51145,20318,69.27,1407,0.00,7,0.29,5
02180,Nome Census Area,Alaska,AK,0,0,10070,4801,2008,69.27,139,0.00,1,0.00,1
02185,North Slope Borough,Alaska,AK,0,0,10865,4399,1983,69.27,137,0.00,1,0.00,1
02188,Northwest Arctic Borough,Alaska,AK,0,0,7776,3592,1495,69.27,104,0.00,1,0.00,1
02195,Petersburg Borough,Alaska,AK,0,0,3368,1624,506,69.27,35,0.00,0,0,0
02198,Prince of Wales-Hyder Census Area,Alaska,AK,0,0,5886,2646,896,69.27,62,0.00,0,0,0
02220,Sitka City and Borough,Alaska,AK,0,0,8518,4115,1655,69.27,115,0.00,1,0.00,1
02230,Skagway Municipality,Alaska,AK,0,0,1329,662,270,69.27,19,0.00,0,0,0
02240,Southeast Fairbanks Census Area,Alaska,AK,0,0,6849,3072,1088,69.27,75,0.00,0,0,0
02275,Wrangell City and Borough,Alaska,AK,0,0,2162,938,251,69.27,17,0.00,0,0,0
02282,Yakutat City and Borough,Alaska,AK,0,0,562,222,88,69.27,6,0.00,0,0,0
02290,Yukon-Koyukuk Census Area,Alaska,AK,1,0,5433,2594,931,69.27,64,0.00,0,0,-1
04001,Apache County,Arizona,AZ,1,0,66473,33434,12313,64.14,790,0.00,4,0.25,3
04003,Cochise County,Arizona,AZ,1,0,126050,61294,20440,60.91,1245,0.00,6,0.17,5
04005,Coconino County,Arizona,AZ,2,0,145052,73410,35971,36.14,1300,0.00,7,0.29,5
04007,Gila County,Arizona,AZ,0,0,53211,26667,7413,64.14,475,0.00,2,0.00,2
04009,Graham County,Arizona,AZ,0,0,38145,17705,7161,64.14,459,0.00,2,0.00,2
04011,Greenlee County,Arizona,AZ,0,0,9542,4440,1797,64.14,115,0.00,1,0.00,1
04012,La Paz County,Arizona,AZ,0,0,16845,8125,2024,64.14,130,0.00,1,0.00,1
04013,Maricopa County,Arizona,AZ,60,13,4496588,2197036,911627,55.22,50340,0.00,252,0.24,192
04015,Mohave County,Arizona,AZ,0,0,217692,104118,29032,62.28,1808,0.00,9,0.00,9
04017,Navajo County,Arizona,AZ,1,0,108147,52795,18364,65.78,1208,0.00,6,0.17,5
04019,Pima County,Arizona,AZ,10,3,1052030,523344,204631,48.81,9988,0.00,50,0.20,40
04021,Pinal County,Arizona,AZ,5,0,449557,201387,76331,63.47,4845,0.00,24,0.21,19
04023,Santa Cruz County,Arizona,AZ,0,0,47463,24697,8937,64.14,573,0.00,3,0.00,3
04025,Yavapai County,Arizona,AZ,1,0,242253,118824,31479,54.93,1729,0.00,9,0.11,8
04027,Yuma County,Arizona,AZ,0,0,206990,98032,37289,78.25,2918,0.00,15,0.00,15
05001,Arkansas County,Arkansas,AR,0,0,17273,8782,2991,63.72,191,0.00,1,0.00,1
05003,Ashley County,Arkansas,AR,0,0,19362,9946,3293,63.72,210,0.00,1,0.00,1
05005,Baxter County,Arkansas,AR,0,0,41476,21182,5858,63.72,373,0.00,2,0.00,2
05007,Benton County,Arkansas,AR,1,0,293692,139165,60692,62.13,3771,0.00,19,0.05,18
05009,Boone County,Arkansas,AR,0,0,37445,18924,6376,63.72,406,0.00,2,0.00,2
05011,Bradley County,Arkansas,AR,0,0,10597,5571,1981,63.72,126,0.00,1,0.00,1
05013,Calhoun County,Arkansas,AR,0,0,4811,2363,860,63.72,55,0.00,0,0,0
05015,Carroll County,Arkansas,AR,0,0,28154,13955,4443,63.72,283,0.00,1,0.00,1
05017,Chicot County,Arkansas,AR,0,0,10405,5194,1591,63.72,101,0.00,1,0.00,1
05019,Clark County,Arkansas,AR,0,0,21569,11342,5274,63.72,336,0.00,2,0.00,2
05021,Clay County,Arkansas,AR,1,0,14661,7579,2540,63.72,162,0.00,1,1.00,0
05023,Cleburne County,Arkansas,AR,0,0,24848,12419,3743,63.72,239,0.00,1,0.00,1
05025,Cleveland County,Arkansas,AR,1,0,7632,4090,1482,63.72,94,0.00,0,0,-1
05027,Columbia County,Arkansas,AR,0,0,22947,11789,4986,63.72,318,0.00,2,0.00,2
05029,Conway County,Arkansas,AR,2,0,20687,10423,3457,63.72,220,0.00,1,2.00,-1
05031,Craighead County,Arkansas,AR,3,0,109875,56220,23896,63.72,1523,0.00,8,0.38,5
05033,Crawford County,Arkansas,AR,0,0,60483,30603,11077,63.72,706,0.00,4,0.00,4
05035,Crittenden County,Arkansas,AR,0,0,48338,25244,9794,63.72,624,0.00,3,0.00,3
05037,Cross County,Arkansas,AR,0,0,16935,8759,3104,63.72,198,0.00,1,0.00,1
05039,Dallas County,Arkansas,AR,0,0,6645,3426,1212,63.72,77,0.00,0,0,0
05041,Desha County,Arkansas,AR,0,0,11530,6156,2147,63.72,137,0.00,1,0.00,1
05043,Drew County,Arkansas,AR,1,0,17511,9078,3530,63.72,225,0.00,1,1.00,0
05045,Faulkner County,Arkansas,AR,2,0,125106,62905,29120,50.48,1470,0.00,7,0.29,5
05047,Franklin County,Arkansas,AR,0,0,17159,8673,2995,63.72,191,0.00,1,0.00,1
05049,Fulton County,Arkansas,AR,0,0,12072,6157,1735,63.72,111,0.00,1,0.00,1
05051,Garland County,Arkansas,AR,2,0,99694,51587,16926,63.72,1079,0.00,5,0.40,3
05053,Grant County,Arkansas,AR,0,0,17912,8939,3161,63.72,201,0.00,1,0.00,1
05055,Greene County,Arkansas,AR,3,0,45665,23073,8726,63.72,556,0.00,3,1.00,0
05057,Hempstead County,Arkansas,AR,0,0,20352,10808,3684,63.72,235,0.00,1,0.00,1
05059,Hot Spring County,Arkansas,AR,2,0,33096,15732,5330,63.72,340,0.00,2,1.00,0
05061,Howard County,Arkansas,AR,0,0,12894,6707,2534,63.72,161,0.00,1,0.00,1
05063,Independence County,Arkansas,AR,0,0,37796,19053,6885,63.72,439,0.00,2,0.00,2
05065,Izard County,Arkansas,AR,0,0,13653,6504,1825,63.72,116,0.00,1,0.00,1
05067,Jackson County,Arkansas,AR,0,0,16878,8487,3240,63.72,206,0.00,1,0.00,1
05069,Jefferson County,Arkansas,AR,1,0,68199,34282,12659,63.72,807,0.00,4,0.25,3
05071,Johnson County,Arkansas,AR,0,0,25853,12981,4712,63.72,300,0.00,2,0.00,2
05073,Lafayette County,Arkansas,AR,0,0,6373,3095,1018,63.72,65,0.00,0,0,0
05075,Lawrence County,Arkansas,AR,1,1,16292,8136,2916,63.72,186,0.00,1,1.00,0
05077,Lee County,Arkansas,AR,0,0,8832,3807,1142,63.72,73,0.00,0,0,0
05079,Lincoln County,Arkansas,AR,1,0,13092,4812,1497,63.72,95,0.00,0,0,-1
05081,Little River County,Arkansas,AR,0,0,12104,6164,2051,63.72,131,0.00,1,0.00,1
05083,Logan County,Arkansas,AR,0,0,21299,10807,3628,63.72,231,0.00,1,0.00,1
05085,Lonoke County,Arkansas,AR,0,0,73824,37317,14955,63.72,953,0.00,5,0.00,5
05087,Madison County,Arkansas,AR,1,0,16496,8056,2585,63.72,165,0.00,1,1.00,0
05089,Marion County,Arkansas,AR,0,0,16750,8498,2180,63.72,139,0.00,1,0.00,1
05091,Miller County,Arkansas,AR,0,0,42875,21592,7968,63.72,508,0.00,3,0.00,3
05093,Mississippi County,Arkansas,AR,0,0,41061,20896,7970,63.72,508,0.00,3,0.00,3
05095,Monroe County,Arkansas,AR,0,0,6903,3583,1086,63.72,69,0.00,0,0,0
05097,Montgomery County,Arkansas,AR,0,0,8525,4220,1137,63.72,72,0.00,0,0,0
05099,Nevada County,Arkansas,AR,0,0,8340,4185,1165,63.72,74,0.00,0,0,0
05101,Newton County,Arkansas,AR,0,0,7343,3688,1165,63.72,74,0.00,0,0,0
05103,Ouachita County,Arkansas,AR,0,0,22858,11675,3739,63.72,238,0.00,1,0.00,1
05105,Perry County,Arkansas,AR,2,0,10056,4946,1608,63.72,102,0.00,1,2.00,-1
05107,Phillips County,Arkansas,AR,0,0,16923,9058,3090,63.72,197,0.00,1,0.00,1
05109,Pike County,Arkansas,AR,0,0,10234,5172,1800,63.72,115,0.00,1,0.00,1
05111,Poinsett County,Arkansas,AR,0,0,23212,11849,4130,63.72,263,0.00,1,0.00,1
05113,Polk County,Arkansas,AR,0,0,19476,9942,3095,63.72,197,0.00,1,0.00,1
05115,Pope County,Arkansas,AR,0,0,63234,31886,12896,63.72,822,0.00,4,0.00,4
05117,Prairie County,Arkansas,AR,0,0,8306,4110,1333,63.72,85,0.00,0,0,0
05119,Pulaski County,Arkansas,AR,5,0,397821,207302,81512,61.49,5012,0.00,25,0.20,20
05121,Randolph County,Arkansas,AR,1,1,18442,9102,3070,63.72,196,0.00,1,1.00,0
05123,St. Francis County,Arkansas,AR,0,0,23623,10373,3441,63.72,219,0.00,1,0.00,1
05125,Saline County,Arkansas,AR,1,0,125233,62242,23899,59.42,1420,0.00,7,0.14,6
05127,Scott County,Arkansas,AR,0,0,9928,4626,1499,63.72,96,0.00,0,0,0
05129,Searcy County,Arkansas,AR,0,0,7872,3882,1165,63.72,74,0.00,0,0,0
05131,Sebastian County,Arkansas,AR,0,0,128400,65055,24785,65.36,1620,0.00,8,0.00,8
05133,Sevier County,Arkansas,AR,0,0,16074,8018,2954,63.72,188,0.00,1,0.00,1
05135,Sharp County,Arkansas,AR,0,0,17243,8706,2620,63.72,167,0.00,1,0.00,1
05137,Stone County,Arkansas,AR,0,0,12364,6266,1807,63.72,115,0.00,1,0.00,1
05139,Union County,Arkansas,AR,0,0,39262,20157,6968,63.72,444,0.00,2,0.00,2
05141,Van Buren County,Arkansas,AR,0,0,15851,8020,2359,63.72,150,0.00,1,0.00,1
05143,Washington County,Arkansas,AR,1,0,250057,120753,57085,55.67,3178,0.00,16,0.06,15
05145,White County,Arkansas,AR,0,0,77075,39362,15566,63.72,992,0.00,5,0.00,5
05147,Woodruff County,Arkansas,AR,0,0,6333,3270,1099,63.72,70,0.00,0,0,0
05149,Yell County,Arkansas,AR,0,0,20489,10063,3542,63.72,226,0.00,1,0.00,1
06001,Alameda County,California,CA,28,0,1648556,845577,350221,48.36,16937,0.00,85,0.33,57
06003,Alpine County,California,CA,0,0,1344,613,219,62.25,14,0.00,0,0,0
06005,Amador County,California,CA,1,0,40095,18135,4996,62.25,311,0.00,2,0.50,1
06007,Butte County,California,CA,1,0,208309,109716,43854,47.09,2065,0.00,10,0.10,9
06009,Calaveras County,California,CA,0,0,45349,22775,6043,62.25,376,0.00,2,0.00,2
06011,Colusa County,California,CA,0,0,21780,10638,4123,62.25,257,0.00,1,0.00,1
06013,Contra Costa County,California,CA,14,0,1161413,590637,222504,53.44,11891,0.00,59,0.24,45
06015,Del Norte County,California,CA,1,0,27655,12894,4306,62.25,268,0.00,1,1.00,0
06017,El Dorado County,California,CA,2,0,193221,95363,31256,51,1594,0.00,8,0.25,6
06019,Fresno County,California,CA,10,0,1013581,500456,211917,65.92,13970,0.00,70,0.14,60
06021,Glenn County,California,CA,1,0,28675,14126,5494,62.25,342,0.00,2,0.50,1
06023,Humboldt County,California,CA,2,0,136310,68610,28281,44.69,1264,0.00,6,0.33,4
06025,Imperial County,California,CA,0,0,179851,87362,34268,69.07,2367,0.00,12,0.00,12
06027,Inyo County,California,CA,0,0,18804,9258,2974,62.25,185,0.00,1,0.00,1
06029,Kern County,California,CA,3,0,917673,439805,187734,66.55,12494,0.00,62,0.05,59
06031,Kings County,California,CA,2,0,153443,68015,29420,73.08,2150,0.00,11,0.18,9
06033,Lake County,California,CA,2,0,67749,33693,10586,62.25,659,0.00,3,0.67,1
06035,Lassen County,California,CA,0,0,32949,11588,3560,62.25,222,0.00,1,0.00,1
06037,Los Angeles County,California,CA,111,13,9829544,5055907,2060296,46.71,96236,0.00,481,0.23,370
06039,Madera County,California,CA,7,0,159410,80293,34032,59.62,2029,0.00,10,0.70,3
06041,Marin County,California,CA,4,1,260206,133243,39482,59.04,2331,0.00,12,0.33,8
06043,Mariposa County,California,CA,0,0,17225,8410,2393,62.25,149,0.00,1,0.00,1
06045,Mendocino County,California,CA,2,0,91534,46010,15042,62.25,936,0.00,5,0.40,3
06047,Merced County,California,CA,1,0,286461,137444,60329,64.03,3863,0.00,19,0.05,18
06049,Modoc County,California,CA,0,0,8723,4335,1321,62.25,82,0.00,0,0,0
06051,Mono County,California,CA,0,0,13291,6007,2245,62.25,140,0.00,1,0.00,1
06053,Monterey County,California,CA,4,0,437325,214658,85866,63.24,5430,0.00,27,0.15,23
06055,Napa County,California,CA,1,1,136207,69255,24873,48.37,1203,0.00,6,0.17,5
06057,Nevada County,California,CA,3,0,102090,51513,15089,62.25,939,0.00,5,0.60,2
06059,Orange County,California,CA,43,3,3167809,1604231,625534,49.18,30764,0.00,154,0.28,111
06061,Placer County,California,CA,5,1,412300,203418,73100,52.61,3846,0.00,19,0.26,14
06063,Plumas County,California,CA,0,0,19631,9718,2755,62.25,171,0.00,1,0.00,1
06065,Riverside County,California,CA,16,1,2458395,1201934,495960,55.34,27446,0.00,137,0.12,121
06067,Sacramento County,California,CA,12,2,1588921,798959,330420,55.64,18385,0.00,92,0.13,80
06069,San Benito County,California,CA,1,0,63329,31323,12598,62.25,784,0.00,4,0.25,3
06071,San Bernardino County,California,CA,9,0,2194710,1085470,463070,57.63,26687,0.00,133,0.07,124
06073,San Diego County,California,CA,50,10,3286069,1628153,678063,55.17,37409,0.00,187,0.27,137
06075,San Francisco County,California,CA,15,3,815201,422280,177470,42.18,7486,0.00,37,0.41,22
06077,San Joaquin County,California,CA,1,0,789410,385149,161165,60.31,9720,0.00,49,0.02,48
06079,San Luis Obispo County,California,CA,8,0,283159,139128,54254,45.07,2445,0.00,12,0.67,4
06081,San Mateo County,California,CA,13,3,737888,382862,141075,52.81,7450,0.00,37,0.35,24
06083,Santa Barbara County,California,CA,11,1,446475,222637,95562,57.46,5491,0.00,27,0.41,16
06085,Santa Clara County,California,CA,22,7,1885508,948198,378494,50.66,19175,0.00,96,0.23,74
06087,Santa Cruz County,California,CA,6,1,267792,136707,55906,40.34,2255,0.00,11,0.55,5
06089,Shasta County,California,CA,2,0,182139,91994,32445,56.65,1838,0.00,9,0.22,7
06091,Sierra County,California,CA,2,0,3079,1638,547,62.25,34,0.00,0,0,-2
06093,Siskiyou County,California,CA,2,0,44151,21933,6406,62.25,399,0.00,2,1.00,0
06095,Solano County,California,CA,4,1,451716,225553,86512,57.66,4988,0.00,25,0.16,21
06097,Sonoma County,California,CA,6,3,485887,250600,88672,51.48,4565,0.00,23,0.26,17
06099,Stanislaus County,California,CA,2,0,552999,276477,112752,64.96,7324,0.00,37,0.05,35
06101,Sutter County,California,CA,3,0,99080,49302,19158,62.25,1193,0.00,6,0.50,3
06103,Tehama County,California,CA,1,0,65345,32815,11067,62.25,689,0.00,3,0.33,2
06105,Trinity County,California,CA,1,0,15818,7739,2238,62.25,139,0.00,1,1.00,0
06107,Tulare County,California,CA,2,0,477054,234574,100115,67.59,6767,0.00,34,0.06,32
06109,Tuolumne County,California,CA,0,0,55243,26488,7786,62.25,485,0.00,2,0.00,2
06111,Ventura County,California,CA,21,3,839784,424655,161468,53.81,8689,0.00,43,0.49,22
06113,Yolo County,California,CA,4,1,216986,111335,54875,35.85,1967,0.00,10,0.40,6
06115,Yuba County,California,CA,1,0,80404,39703,16217,62.25,1010,0.00,5,0.20,4
08001,Adams County,Colorado,CO,13,5,522140,253612,113659,54.54,6199,0.00,31,0.42,18
08003,Alamosa County,Colorado,CO,0,0,16377,8107,3580,52.6,188,0.00,1,0.00,1
08005,Arapahoe County,Colorado,CO,19,9,654900,326671,136289,56.29,7672,0.00,38,0.50,19
08007,Archuleta County,Colorado,CO,0,0,13267,6557,1905,52.6,100,0.00,1,0.00,1
08009,Baca County,Colorado,CO,0,0,3519,1779,530,52.6,28,0.00,0,0,0
08011,Bent County,Colorado,CO,0,0,5861,2209,661,52.6,35,0.00,0,0,0
08013,Boulder County,Colorado,CO,13,4,329543,162573,70220,36.54,2566,0.00,13,1.00,0
08014,Broomfield County,Colorado,CO,7,0,72697,36206,14710,52.6,774,0.00,4,1.75,-3
08015,Chaffee County,Colorado,CO,1,0,19436,9362,2941,52.6,155,0.00,1,1.00,0
08017,Cheyenne County,Colorado,CO,0,0,1691,832,209,52.6,11,0.00,0,0,0
08019,Clear Creek County,Colorado,CO,1,0,9427,4648,1574,52.6,83,0.00,0,0,-1
08021,Conejos County,Colorado,CO,0,0,7579,3759,1282,52.6,67,0.00,0,0,0
08023,Costilla County,Colorado,CO,0,0,3517,1648,500,52.6,26,0.00,0,0,0
08025,Crowley County,Colorado,CO,0,0,6018,1979,709,52.6,37,0.00,0,0,0
08027,Custer County,Colorado,CO,0,0,4720,2472,468,52.6,25,0.00,0,0,0
08029,Delta County,Colorado,CO,0,0,31133,15469,4513,52.6,237,0.00,1,0.00,1
08031,Denver County,Colorado,CO,26,6,711463,351034,177777,51.93,9232,0.00,46,0.57,20
08033,Dolores County,Colorado,CO,0,0,2288,1025,237,52.6,12,0.00,0,0,0
08035,Douglas County,Colorado,CO,13,3,368990,175050,71342,52.68,3758,0.00,19,0.68,6
08037,Eagle County,Colorado,CO,0,0,55693,25914,10734,52.6,565,0.00,3,0.00,3
08039,Elbert County,Colorado,CO,1,0,25897,12758,4029,52.6,212,0.00,1,1.00,0
08041,El Paso County,Colorado,CO,12,0,737867,356095,154021,60.05,9249,0.00,46,0.26,34
08043,Fremont County,Colorado,CO,1,0,49007,20370,5941,52.6,312,0.00,2,0.50,1
08045,Garfield County,Colorado,CO,0,0,61221,29830,11657,52.6,613,0.00,3,0.00,3
08047,Gilpin County,Colorado,CO,1,0,5812,2738,944,52.6,50,0.00,0,0,-1
08049,Grand County,Colorado,CO,0,0,15629,7274,2565,52.6,135,0.00,1,0.00,1
08051,Gunnison County,Colorado,CO,2,1,16851,7589,3679,52.6,194,0.00,1,2.00,-1
08053,Hinsdale County,Colorado,CO,0,0,858,469,82,52.6,4,0.00,0,0,0
08055,Huerfano County,Colorado,CO,0,0,6787,3317,875,52.6,46,0.00,0,0,0
08057,Jackson County,Colorado,CO,0,0,1375,635,207,52.6,11,0.00,0,0,0
08059,Jefferson County,Colorado,CO,25,4,579581,288867,113838,48.72,5546,0.00,28,0.89,3
