GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD
01001,Autauga,Autauga County,AL,Alabama,6
01003,Baldwin,Baldwin County,AL,Alabama,6
01005,Barbour,Barbour County,AL,Alabama,6
01007,Bibb,Bibb County,AL,Alabama,6
01009,Blount,Blount County,AL,Alabama,6
01011,Bullock,Bullock County,AL,Alabama,6
01013,Butler,Butler County,AL,Alabama,6
01015,Calhoun,Calhoun County,AL,Alabama,6
01017,Chambers,Chambers County,AL,Alabama,6
01019,Cherokee,Cherokee County,AL,Alabama,6
01021,Chilton,Chilton County,AL,Alabama,6
01023,Choctaw,Choctaw County,AL,Alabama,6
01025,Clarke,Clarke County,AL,Alabama,6
01027,Clay,Clay County,AL,Alabama,6
01029,Cleburne,Cleburne County,AL,Alabama,6
01031,Coffee,Coffee County,AL,Alabama,6
01033,Colbert,Colbert County,AL,Alabama,6
01035,Conecuh,Conecuh County,AL,Alabama,6
01037,Coosa,Coosa County,AL,Alabama,6
01039,Covington,Covington County,AL,Alabama,6
01041,Crenshaw,Crenshaw County,AL,Alabama,6
01043,Cullman,Cullman County,AL,Alabama,6
01045,Dale,Dale County,AL,Alabama,6
01047,Dallas,Dallas County,AL,Alabama,6
01049,DeKalb,DeKalb County,AL,Alabama,6
01051,Elmore,Elmore County,AL,Alabama,6
01053,Escambia,Escambia County,AL,Alabama,6
01055,Etowah,Etowah County,AL,Alabama,6
01057,Fayette,Fayette County,AL,Alabama,6
01059,Franklin,Franklin County,AL,Alabama,6
01061,Geneva,Geneva County,AL,Alabama,6
01063,Greene,Greene County,AL,Alabama,6
01065,Hale,Hale County,AL,Alabama,6
01067,Henry,Henry County,AL,Alabama,6
01069,Houston,Houston County,AL,Alabama,6
01071,Jackson,Jackson County,AL,Alabama,6
01073,Jefferson,Jefferson County,AL,Alabama,6
01075,Lamar,Lamar County,AL,Alabama,6
01077,Lauderdale,Lauderdale County,AL,Alabama,6
01079,Lawrence,Lawrence County,AL,Alabama,6
01081,Lee,Lee County,AL,Alabama,6
01083,Limestone,Limestone County,AL,Alabama,6
01085,Lowndes,Lowndes County,AL,Alabama,6
01087,Macon,Macon County,AL,Alabama,6
01089,Madison,Madison County,AL,Alabama,6
01091,Marengo,Marengo County,AL,Alabama,6
01093,Marion,Marion County,AL,Alabama,6
