COUNTY,STATE,PRFS,GAP,RPRAFEM,FERTRATE,BIRTHS_IMP
Mobile County,Alabama,28,24,82962,61.49,5101
Pulaski County,Arkansas,28,20,81472,61.49,5010
Lake County,Indiana,25,22,94780,56.98,5401
Marion County,Indiana,29,50,213471,64.06,13675
Jefferson Parish,Louisiana,29,21,83856,64.52,5410
Genesee County,Michigan,29,22,75423,59.23,4467
Wayne County,Michigan,28,98,352554,61.37,21636
Bernalillo County,New Mexico,25,22,136019,47.38,6445
Oklahoma County,Oklahoma,30,39,164486,65.92,10843
Tulsa County,Oklahoma,28,38,134891,63.21,8526
Hamilton County,Tennessee,25,20,71876,62.17,4469
Shelby County,Tennessee,32,52,194424,64.01,12445
Bell County,Texas,25,29,79598,73.72,5868
Bexar County,Texas,27,112,430253,58.09,24993
Cameron County,Texas,30,28,84623,67.82,5739
El Paso County,Texas,26,50,179782,60.23,10828
Harris County,Texas,26,285,1016289,61.87,62878
Hidalgo County,Texas,30,65,183439,71.33,13085
Nueces County,Texas,26,21,72121,60.06,4332
Webb County,Texas,30,21,56709,75.27,4268
