FIPS,STABRV,STATE,COUNTY,APPCT,I_1,I_1_QRT,VCR,I_2,I_2_QRT,AVNMUD,I_3,I_3_QRT,MLESPCT,I_4,I_4_QRT,INTDPCT,I_5,I_5_QRT,CIPPCT,I_6,I_6_QRT,BLWCLGPCT,II_7,II_7_QRT,CHSPHHPCT,II_8,II_8_QRT,CHWUEPPCT,II_9,II_9_QRT,TNBR,II_10,II_10_QRT,CESPCT,II_11,II_11_QRT,PRETBRPCT,II_12,II_12_QRT,MHP_RATE,III_13,III_13_QRT,INC_RATIO,III_14,III_14_QRT,RPAWWHPCT,III_15,III_15_QRT,RPAWHSPPCT,III_16,III_16_QRT,UIADPCT,III_17,III_17_QRT,SHPPCT,III_18,III_18_QRT,FISPCT,III_19,III_19_QRT,STFP,DMN_20,DMN_20_QRT,HD2DVW,DMN_21,DMN_21_QRT,FERTRATE,DMN_22,DMN_22_QRT,PRFS
01001,AL,Alabama,Autauga County,46.4,0,2,272,2,3,5.4,2,3,77.7,0,2,54.6,3,1,15,0,2,0.73,2,4,28,1,3,0.36,1,3,23,0,2,37.4,2,4,13.3,2,4,37,1,1,5.1,1,4,72.9,1,1,3.4,0,2,12,0,2,15,1,3,16,1,3,6.5,0,2,65.8,0,4,,,,20
01003,AL,Alabama,Baldwin County,46.4,0,2,204,0,2,5.2,2,3,77.7,0,2,54.6,3,1,12,0,1,0.73,2,4,18,0,1,0.36,1,3,24,0,2,32,1,3,10.3,1,3,99,1,2,4.4,0,2,84.4,1,2,5.4,0,2,14,1,3,12,0,2,13,0,2,6.5,0,2,65.8,0,4,60.58,1,3,14
01005,AL,Alabama,Barbour County,46.4,0,2,414,3,4,6.1,3,4,77.7,0,2,54.6,3,1,38,3,4,0.73,2,4,54,2,4,0.36,1,3,35,2,4,36.8,2,4,12.1,2,4,24,1,1,6.0,1,4,42.4,1,1,4.5,0,2,17,1,3,15,1,3,21,1,4,6.5,0,2,65.8,0,4,,,,29
01007,AL,Alabama,Bibb County,46.4,0,2,89,0,1,5.8,3,4,77.7,0,2,54.6,3,1,22,2,3,0.73,2,4,37,2,4,0.36,1,3,34,1,3,35,2,4,10.8,1,3,27,1,1,5.4,1,4,79.6,1,2,3.7,0,2,14,1,3,11,0,1,16,1,3,6.5,0,2,65.8,0,4,,,,22
01009,AL,Alabama,Blount County,46.4,0,2,483,3,4,5.7,3,4,77.7,0,2,54.6,3,1,19,2,3,0.73,2,4,23,0,2,0.36,1,3,30,1,3,33.1,1,3,11.5,2,4,17,1,1,4.8,1,3,95.7,0,4,11.2,1,3,18,1,3,10,0,1,15,1,3,6.5,0,2,65.8,0,4,,,,23
01011,AL,Alabama,Bullock County,46.4,0,2,311,2,3,5.7,3,4,77.7,0,2,54.6,3,1,39,3,4,0.73,2,4,59,2,4,0.36,1,3,40,2,4,38.4,2,4,14.1,2,4,20,1,1,8.1,1,4,19.7,1,1,12.9,1,4,15,1,3,17,1,4,16,1,3,6.5,0,2,65.8,0,4,,,,29
01013,AL,Alabama,Butler County,46.4,0,2,582,3,4,6,3,4,77.7,0,2,54.6,3,1,31,3,4,0.73,2,4,41,2,4,0.36,1,3,39,2,4,40.2,2,4,14.1,2,4,67,1,2,5.7,1,4,42.7,1,1,1.3,0,1,15,1,3,13,0,2,17,1,4,6.5,0,2,65.8,0,4,,,,28
01015,AL,Alabama,Calhoun County,46.4,0,2,756,3,4,5.7,3,4,77.7,0,2,54.6,3,1,17,0,2,0.73,2,4,31,2,4,0.36,1,3,30,1,3,33.2,1,3,10.4,1,3,142,0,3,4.8,1,3,70.7,1,1,4.4,0,2,15,1,3,13,0,2,17,1,4,6.5,0,2,65.8,0,4,59.31,1,3,22
01017,AL,Alabama,Chambers County,46.4,0,2,529,3,4,5.8,3,4,77.7,0,2,54.6,3,1,26,3,4,0.73,2,4,32,2,4,0.36,1,3,37,2,4,39.4,2,4,12.9,2,4,3,1,1,4.5,1,3,51.6,1,1,2.3,0,1,15,1,3,15,1,3,15,1,3,6.5,0,2,65.8,0,4,,,,29
01019,AL,Alabama,Cherokee County,46.4,0,2,330,2,3,6,3,4,77.7,0,2,54.6,3,1,23,2,3,0.73,2,4,20,0,2,0.36,1,3,33,1,3,31.2,0,2,11,1,3,23,1,1,4.5,1,3,93.3,0,3,2.7,0,1,16,1,3,11,0,1,16,1,3,6.5,0,2,65.8,0,4,,,,19
