FIPS,COUNTY,STABVR,STATE,RPSYCH
"01059",Franklin County,AL,Alabama,"0"
"06057",Nevada County,CA,California,"0"
"26031",Cheboygan County,MI,Michigan,"0"
"29119",McDonald County,MO,Missouri,"0"
"31157",Scotts Bluff County,NE,Nebraska,"0"
"37011",Avery County,NC,North Carolina,"0"
"46039",Deuel County,SD,South Dakota,"0"
"48495",Winkler County,TX,Texas,"0"
"54061",Monongalia County,WV,West Virginia,"0"
"05137",Stone County,AR,Arkansas,"0"
"08087",Morgan County,CO,Colorado,"0"
"17009",Brown County,IL,Illinois,"0"
"19135",Monroe County,IA,Iowa,"0"
"28155",Webster County,MS,Mississippi,"0"
"28131",Stone County,MS,Mississippi,"0"
"31159",Seward County,NE,Nebraska,"0"
"39139",Richland County,OH,Ohio,"0"
"46085",Lyman County,SD,South Dakota,"0"
"48285",Lavaca County,TX,Texas,"0"
"48023",Baylor County,TX,Texas,"0"
"51600",Fairfax city,VA,Virginia,"0"
"55139",Winnebago County,WI,Wisconsin,"1"
"19027",Carroll County,IA,Iowa,"0"
"31171",Thomas County,NE,Nebraska,"0"
"20015",Butler County,KS,Kansas,"0"
"27009",Benton County,MN,Minnesota,"0"
"18031",Decatur County,IN,Indiana,"0"
"12061",Indian River County,FL,Florida,"1"
"18047",Franklin County,IN,Indiana,"0"
"19063",Emmet County,IA,Iowa,"0"
"26069",Iosco County,MI,Michigan,"0"
"36003",Allegany County,NY,New York,"0"
"40071",Kay County,OK,Oklahoma,"0"
"47109",McNairy County,TN,Tennessee,"0"
"51510",Alexandria city,VA,Virginia,"0"
"01085",Lowndes County,AL,Alabama,"0"
"08043",Fremont County,CO,Colorado,"0"
"17147",Piatt County,IL,Illinois,"0"
"18009",Blackford County,IN,Indiana,"0"
"20203",Wichita County,KS,Kansas,"0"
"20067",Grant County,KS,Kansas,"0"
"26045",Eaton County,MI,Michigan,"1"
"38047",Logan County,ND,North Dakota,"0"
"39137",Putnam County,OH,Ohio,"0"
"39151",Stark County,OH,Ohio,"1"
"42023",Cameron County,PA,Pennsylvania,"0"
"48319",Mason County,TX,Texas,"0"
"48101",Cottle County,TX,Texas,"0"
"55017",Chippewa County,WI,Wisconsin,"0"
"31111",Lincoln County,NE,Nebraska,"0"
"20189",Stevens County,KS,Kansas,"0"
"26093",Livingston County,MI,Michigan,"0"
"46125",Turner County,SD,South Dakota,"0"
"09013",Tolland County,CT,Connecticut,"0"
"19177",Van Buren County,IA,Iowa,"0"
"26125",Oakland County,MI,Michigan,"1"
"29003",Andrew County,MO,Missouri,"0"
"37157",Rockingham County,NC,North Carolina,"0"
"02198",Prince of Wales-Hyder Census Area,AK,Alaska,"0"
"48301",Loving County,TX,Texas,"0"
"06019",Fresno County,CA,California,"0"
"02164",Lake and Peninsula Borough,AK,Alaska,"0"
"56005",Campbell County,WY,Wyoming,"0"
"06005",Amador County,CA,California,"0"
"08101",Pueblo County,CO,Colorado,"0"
"13207",Monroe County,GA,Georgia,"0"
"19101",Jefferson County,IA,Iowa,"0"
"19197",Wright County,IA,Iowa,"0"
"29061",Daviess County,MO,Missouri,"0"
"31143",Polk County,NE,Nebraska,"0"
"36049",Lewis County,NY,New York,"0"
"47169",Trousdale County,TN,Tennessee,"0"
"51685",Manassas Park city,VA,Virginia,"0"
"55005",Barron County,WI,Wisconsin,"0"
"18119",Owen County,IN,Indiana,"0"
"48447",Throckmorton County,TX,Texas,"0"
"25019",Nantucket County,MA,Massachusetts,"0"
"04005",Coconino County,AZ,Arizona,"0"
"04012",La Paz County,AZ,Arizona,"0"
"12115",Sarasota County,FL,Florida,"0"
"20033",Comanche County,KS,Kansas,"0"
"20175",Seward County,KS,Kansas,"0"
"26095",Luce County,MI,Michigan,"0"
"27043",Faribault County,MN,Minnesota,"0"
"29227",Worth County,MO,Missouri,"0"
"38011",Bowman County,ND,North Dakota,"0"
"46051",Grant County,SD,South Dakota,"0"
"54077",Preston County,WV,West Virginia,"0"
"08039",Elbert County,CO,Colorado,"0"
"17107",Logan County,IL,Illinois,"0"
"20097",Kiowa County,KS,Kansas,"0"
"20057",Ford County,KS,Kansas,"0"
"38093",Stutsman County,ND,North Dakota,"0"
"26135",Oscoda County,MI,Michigan,"0"
"31019",Buffalo County,NE,Nebraska,"0"
"31115",Loup County,NE,Nebraska,"0"
"38101",Ward County,ND,North Dakota,"0"
"46115",Spink County,SD,South Dakota,"0"
"48233",Hutchinson County,TX,Texas,"0"
"48429",Stephens County,TX,Texas,"0"
"51820",Waynesboro city,VA,Virginia,"0"
"05009",Boone County,AR,Arkansas,"0"
"19123",Mahaska County,IA,Iowa,"0"
"13201",Miller County,GA,Georgia,"0"
"01003",Baldwin County,AL,Alabama,"0"
"04017",Navajo County,AZ,Arizona,"0"
"13055",Chattooga County,GA,Georgia,"0"
"20121",Miami County,KS,Kansas,"0"
"23009",Hancock County,ME,Maine,"0"
"28005",Amite County,MS,Mississippi,"0"
"31095",Jefferson County,NE,Nebraska,"0"
"40003",Alfalfa County,OK,Oklahoma,"0"
"46007",Bennett County,SD,South Dakota,"0"
"48205",Hartley County,TX,Texas,"0"
"55041",Forest County,WI,Wisconsin,"0"
"05087",Madison County,AR,Arkansas,"0"
"13021",Bibb County,GA,Georgia,"0"
"17115",Macon County,IL,Illinois,"0"
"18055",Greene County,IN,Indiana,"0"
"26165",Wexford County,MI,Michigan,"0"
"27005",Becker County,MN,Minnesota,"0"
"28115",Pontotoc County,MS,Mississippi,"0"
"30007",Broadwater County,MT,Montana,"0"
"31003",Antelope County,NE,Nebraska,"0"
"36069",Ontario County,NY,New York,"0"
"47075",Haywood County,TN,Tennessee,"0"
"51840",Winchester city,VA,Virginia,"0"
"51640",Galax city,VA,Virginia,"0"
