COUNTY,FIPS,TOTPOP,FEMPOP,RPRAFEM,F15to17,F18to19,F20,F21,F22to24,F25to29,F30to34,F35to39,F40to44
"Autauga County, Alabama",01001,58239,30033,11863,1530,617,187,485,1215,1852,1898,2064,2015
"Baldwin County, Alabama",01003,227131,116350,39265,4342,2470,1156,1280,3075,6275,6394,7343,6930
"Barbour County, Alabama",01005,25259,11898,3965,451,204,93,49,480,641,714,822,511
"Bibb County, Alabama",01007,22412,10112,3626,361,267,214,100,247,692,488,804,453
"Blount County, Alabama",01009,58884,29354,10201,1053,531,239,153,1167,1821,1706,1586,1945
"Bullock County, Alabama",01011,10386,4728,1527,59,199,0,118,181,163,181,455,171
"Butler County, Alabama",01013,19181,10207,3487,368,181,128,107,277,547,600,669,610
"Calhoun County, Alabama",01015,116425,60346,22786,2274,1699,913,866,1928,3949,3728,3793,3636
"Chambers County, Alabama",01017,34834,18109,6205,589,382,228,179,549,1209,1015,1205,849
"Cherokee County, Alabama",01019,24975,12623,3855,512,204,77,170,295,638,617,710,632
"Chilton County, Alabama",01021,44857,22981,8350,957,475,327,108,790,1488,1454,1238,1513
"Choctaw County, Alabama",01023,12792,6694,2079,207,169,85,42,176,355,314,223,508
"Clarke County, Alabama",01025,23346,12204,4213,476,343,121,168,339,728,618,754,666
"Clay County, Alabama",01027,14184,7199,2316,235,244,100,6,191,386,467,314,373
"Cleburne County, Alabama",01029,15046,7678,2533,257,100,61,70,253,451,517,452,372
"Coffee County, Alabama",01031,53043,26686,9660,1041,554,297,323,823,1675,1588,1717,1642
"Colbert County, Alabama",01033,56789,29187,10055,998,572,335,198,1047,1801,1644,1854,1606
"Conecuh County, Alabama",01035,11778,6027,2001,251,77,36,33,71,556,212,392,373
"Coosa County, Alabama",01037,10442,5016,1506,128,44,87,24,92,337,114,283,397
"Covington County, Alabama",01039,37490,19226,6458,747,354,246,206,519,1098,1169,1278,841
"Crenshaw County, Alabama",01041,13300,6842,2274,258,114,82,35,232,428,306,471,348
"Cullman County, Alabama",01043,87129,43992,15552,1652,892,447,706,1245,2660,2618,2278,3054
"Dale County, Alabama",01045,49443,24811,9257,926,506,258,401,836,1654,1682,1435,1559
"Dallas County, Alabama",01047,39162,21026,7503,812,545,480,285,467,1261,1178,1523,952
"DeKalb County, Alabama",01049,71554,35928,12948,1537,754,240,580,1208,2168,1960,2534,1967
"Elmore County, Alabama",01051,87146,44695,17479,1749,871,363,698,1594,3192,3130,2880,3002
"Escambia County, Alabama",01053,36879,18015,6288,670,590,106,185,462,1113,1080,1066,1016
"Etowah County, Alabama",01055,103468,53359,18996,2110,950,786,523,1827,3299,3069,3109,3323
"Fayette County, Alabama",01057,16365,8224,2793,294,203,156,112,203,460,493,442,430
"Franklin County, Alabama",01059,32034,16142,5662,648,312,219,187,492,989,972,889,954
"Geneva County, Alabama",01061,26604,13521,4401,433,298,132,119,361,764,745,804,745
"Greene County, Alabama",01063,7851,4078,1261,184,126,0,158,85,117,183,154,254
"Hale County, Alabama",01065,14819,7749,2687,230,163,43,103,320,479,605,297,447
"Henry County, Alabama",01067,17165,8970,2849,321,203,167,37,242,363,400,448,668
"Houston County, Alabama",01069,106355,55112,20261,2112,1102,905,678,1401,3587,3552,3124,3800
"Jackson County, Alabama",01071,52548,26596,9055,952,502,300,339,721,1520,1448,1846,1427
"Jefferson County, Alabama",01073,672550,353128,138510,12628,8756,4750,4264,12525,25329,24922,23520,21816
"Lamar County, Alabama",01075,13929,7016,2281,225,106,93,102,112,356,432,290,565
"Lauderdale County, Alabama",01077,93342,48290,17829,1576,1499,1199,806,2004,2902,2605,2858,2380
"Lawrence County, Alabama",01079,33089,17058,5746,634,292,237,219,569,958,932,876,1029
"Lee County, Alabama",01081,172223,87136,40804,2992,4707,2957,2252,4861,6269,5787,5457,5522
"Limestone County, Alabama",01083,101217,50457,19316,2125,1172,636,660,1368,2968,3364,3794,3229
"Lowndes County, Alabama",01085,10334,5368,1847,161,71,40,161,145,319,323,343,284
"Macon County, Alabama",01087,19490,10523,4236,251,696,477,489,344,581,473,498,427
"Madison County, Alabama",01089,382149,194230,75464,7219,5108,2374,2286,7899,13140,13214,12026,12198
"Marengo County, Alabama",01091,19397,10069,3355,337,316,97,146,466,316,579,717,381
"Marion County, Alabama",01093,29392,14762,5007,586,336,47,277,382,894,815,984,686
"Marshall County, Alabama",01095,97179,48886,17313,2089,1102,593,506,1489,2960,2819,2655,3100
"Mobile County, Alabama",01097,414620,216220,82962,8140,5044,2584,3049,7756,15264,14752,12962,13411
"Monroe County, Alabama",01099,20115,10495,3643,445,554,83,143,293,367,408,716,634
"Montgomery County, Alabama",01101,229072,120690,47928,4362,2994,1608,1606,5033,8664,8364,7177,8120
"Morgan County, Alabama",01103,122608,61955,21855,2483,1252,554,743,1956,3828,3528,4279,3232
"Perry County, Alabama",01105,8702,4690,1849,243,418,102,116,98,165,264,328,115
"Pickens County, Alabama",01107,19240,10050,3791,358,279,109,68,324,681,651,621,700
"Pike County, Alabama",01109,33176,17257,7942,489,1103,1018,694,1073,1018,804,958,785
"Randolph County, Alabama",01111,21984,11227,3668,351,282,144,130,365,582,620,542,652
"Russell County, Alabama",01113,58695,30343,11774,1011,589,354,463,901,2412,2099,2044,1901
"St. Clair County, Alabama",01115,90412,45188,16268,1550,965,429,437,1319,2627,3130,2807,3004
"Shelby County, Alabama",01117,220780,113552,43207,4763,2598,1523,1178,3849,6628,7143,7908,7617
"Sumter County, Alabama",01119,12482,6733,2681,178,468,190,201,317,495,286,316,230
"Talladega County, Alabama",01121,81850,42253,15748,1607,1145,542,628,1472,2587,2611,2428,2728
"Tallapoosa County, Alabama",01123,41284,21102,6738,624,451,258,184,559,1326,1148,1066,1122
"Tuscaloosa County, Alabama",01125,223945,115540,52870,3846,5928,3764,3000,6068,8699,7629,7304,6632
"Walker County, Alabama",01127,65194,32924,11420,1236,692,370,172,1370,1872,1954,1925,1829
"Washington County, Alabama",01129,15574,7557,2467,249,134,92,109,285,372,385,372,469
"Wilcox County, Alabama",01131,10686,5730,1939,232,146,4,58,206,357,283,260,393
"Winston County, Alabama",01133,23650,11825,3874,453,210,81,215,348,653,610,849,455
"Aleutians East Borough, Alaska",02013,3409,1395,578,57,25,3,8,100,40,112,154,79
"Aleutians West Census Area, Alaska",02016,5251,2256,1125,47,16,24,42,387,127,141,198,143
"Anchorage Municipality, Alaska",02020,292545,142897,61409,5504,3099,1652,1884,5806,12027,12035,10510,8892
"Bethel Census Area, Alaska",02050,18514,8790,3743,515,271,135,114,405,716,605,486,496
"Bristol Bay Borough, Alaska",02060,849,369,147,11,4,2,3,5,33,35,31,23
"Chugach Census Area, Alaska",02063,7015,3374,1346,117,115,0,15,44,397,279,230,149
"Copper River Census Area, Alaska",02066,2635,1261,387,34,43,4,21,34,32,62,44,113
"Denali Borough, Alaska",02068,2187,1019,442,22,31,0,15,70,39,100,114,51
"Dillingham Census Area, Alaska",02070,4899,2366,967,103,64,30,12,117,182,193,162,104
